	Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
Included	In Orth 2011	Substrates	EcoCyc ID	Symbol	Name	Annotation	Function	Synth_Prob	Prob(>=1 transcript/gen)	KEIO LB	KEIO MM 24h	KEIO MM 48h 	Gen footprin LB	PEC database	Mutagen LB	Name	Function	Description	Function	GO-terms
Yes	Yes	['CPD-3564 // ETR-Quinones // ETR-Quinols // 2-OXOBUTANOATE', 'L-LACTATE // ETR-Quinones // ETR-Quinols // PYRUVATE', 'E- // PROTON // 2-OXOBUTANOATE // CPD-3564', 'E- // PROTON // ETR-Quinones // ETR-Quinols', 'E- // PROTON // PYRUVATE // L-LACTATE']	EG11963	lldD	L-lactate dehydrogenase	characterized	characterized	3.07914145124E-06	0.88	0.916	0.245	0.246	N	N	N	L-lactate dehydrogenase, FMN-linked	Enzyme; Energy metabolism, carbon: Aerobic respiration	L-lactate dehydrogenase, FMN dependent	Met Orth 	lactate oxidation
Yes	Yes	['PROTON // DEOXYADENOSINE', 'PROTON // DEOXYCYTIDINE', 'PROTON // DEOXYINOSINE', 'PROTON // DEOXYURIDINE', 'PROTON // ADENOSINE', 'PROTON // CYTIDINE', 'PROTON // INOSINE', 'PROTON // THYMIDINE', 'PROTON // URIDINE']	EG11971	nupC	nucleoside H<sup>+</sup> symporter NupC	characterized	characterized	3.86465347079E-05	1.00	0.749	0.389	0.434	N	N	u	nucleoside (except guanosine) transporter	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Nucleoside transporter, except guanosine	Met Orth 	nucleoside transport
Yes	Yes	['TTP // GLC-1-P // PROTON // DTDP-D-GLUCOSE // PPI']	EG11978	rfbA	dTDP-glucose pyrophosphorylase	characterized	characterized	4.25093076687E-05	1.00	0.809	0.314	0.223	N	N	u	glucose-1-phosphate thymidylyltransferase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	Glucose-1-phosphate thymidylyltransferase 1; TDP-glucose pyrophosphorylase; needed for dTDP-L-rhamnose synthesis	Met Orth 	dTDP-rhamnose biosynthetic process
Yes	Yes	['DTDP-DEOH-DEOXY-GLUCOSE // DTDP-DEOH-DEOXY-MANNOSE']	EG11979	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase	characterized	characterized	3.05621178033E-05	1.00	0.745	0.35	0.331	N	N	u	dTDP-4-deoxyrhamnose-3,5-epimerase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	dTDP-4-deoxyrhamnose-3,5-epimerase	Met Orth 	dTDP-rhamnose biosynthetic process
Can add reaction	No	['O-Antigens']	EG11980	rfbX	<i>O</i>-antigen flippase	characterized	characterized	1.93284225165E-05	1.00	0.738	0.291	0.338	N	N	N	putative polisoprenol-linked O-antigen transporter	Putative transport; Surface polysaccharides & antigens	Predicted polisoprenol-linked O-antigen translocating flippase; lethality reduction protein	Met Orth 	N/A
Yes	Yes	['CPD-14553 // UDP-D-GALACTO-14-FURANOSE']	EG11981	glf	UDP-galactopyranose mutase	characterized	characterized	2.54877790381E-05	1.00	0.791	0.411	0.359	X	N	u	UDP-galactopyranose mutase, FAD/NAD(P)-binding	Enzyme; Degradation of small molecules: Carbon compounds	UDP-galactopyranose mutase	Met Orth 	N/A
No	No		EG11982	wbbH	predicted O-antigen polymerase	unknown	unknown	5.50470171929E-06	0.81	0.822	0.289	0.331	N	N	N	O-antigen polymerase	Enzyme; Macromolecule metabolism: Lipopolysaccharide	O-antigen polymerase	Met Orth 	N/A
Yes	Yes	['UDP-D-GALACTO-14-FURANOSE // CPD0-1048 // PROTON // CPD0-1049 // UDP']	EG11983	wbbI	&beta;-1,6-galactofuranosyltransferase	characterized	characterized	1.55049172588E-05	1.00	0.753	0.49	0.532	N	N	u	d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase	Enzyme; Lipopolysaccharide biosynthesis	d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase; involved in lipopolysaccharide biosynthesis	Met Orth 	N/A
No	Yes		EG11984	wbbJ	predicted acyl transferase	unknown	unknown	1.55494140797E-05	1.00	0.757	0.269	0.476	N	N	N	putative lipopolysaccharide biosynthesis O-acetyl transferase	Putative enzyme; Not classified	Predicted lipopolysaccharide biosynthesis O-acetyl transferase; involved in lipopolysaccharide biosynthesis	Met Orth 	N/A
No	Yes		EG11985	wbbK	predicted lipopolysaccharide biosynthesis protein	unknown	unknown	8.35472310091E-06	0.97	0.771	0.329	0.383	N	N	u	lipopolysaccharide biosynthesis protein	Putative enzyme; Not classified	Involved in lipopolysaccharide biosynthesis	Met Orth 	N/A
Can add reaction	Yes	['WATER // ATP // BETAINE // Pi // PROTON // ADP']	EG12009	yehW	YehW	characterized	unknown	3.31656129604E-06	0.59	0.692	0.227	0.172	N	N	u	putative ABC transporter permease	Putative transport; Not classified	Putative ABC transporter permease; osmotically and stationary phase inducible	Met Orth 	N/A
Can add reaction	Yes	['WATER // ATP // BETAINE // Pi // PROTON // ADP']	EG12010	yehX	YehX	characterized	unknown	2.68661806574E-06	0.53	0.693	0.264	0.201	N	N	N	putative ABC transporter ATPase	Putative transport; Not classified	Putative ABC transporter ATPase; osmotically and stationary phase inducible	Met Orth 	N/A
Can add reaction	Yes	['WATER // ATP // BETAINE // Pi // PROTON // ADP']	EG12011	yehY	YehY	characterized	unknown	1.40876935116E-06	0.56	0.82	0.266	0.115	N	N	u	putative ABC transporter permease	Putative transport; Not classified	Putative ABC transporter permease; osmotically and stationary phase inducible	Met Orth 	N/A
Can add reaction	No	['WATER // ATP // BETAINE // Pi // PROTON // ADP']	EG12012	osmF	OsmF	characterized	characterized	6.17039535494E-06	0.91	0.775	0.396	0.458	N	N	N	putative ABC transporter periplasmic binding protein	Putative transport; Not classified	Predicted periplasmic binding protein, function unknown; osmotically and stationary phase inducible; part of putative ABC transporter	Met Orth 	N/A
Can add reaction	Yes	['WATER // Beta-D-glucosides // Non-Glucosylated-Glucose-Acceptors // Glucopyranose']	EG12013	bglX	&beta;-D-glucoside glucohydrolase	characterized	characterized	7.11576138944E-06	0.97	0.761	0.298	0.35	N	N	N	beta-D-glucoside glucohydrolase, periplasmic	Enzyme; Degradation of small molecules: Carbon compounds	Periplasmic beta-glucosidase	Met Orth 	N/A
Can add reaction	Yes	['WATER // CPD0-1181 // CPD0-1183 // CPD0-1182']	EG12015	pbpG	penicillin-binding protein 7	characterized	characterized	0.000015565	1.00	0.785	0.316	0.334	N	N	N	D-alanyl-D-alanine endopeptidase	Putative enzyme; Murein sacculus, peptidoglycan	Murein D-alanyl-D-alanine endopeptidase, periplasmic PBP7 and PBP8; uniquely binds beta-lactam penems, lysing non-growing cells; mutant has biofilm defect	Met Orth 	N/A
Yes	Yes	['WATER // S-LACTOYL-GLUTATHIONE // PROTON // GLUTATHIONE // D-LACTATE', 'WATER // CPD-548 // PROTON // FORMATE // GLUTATHIONE']	EG12026	yeiG	YeiG	characterized	unknown	0.000040879	1.00	0.808	0.35	0.362	N	u	u	S-formylglutathione hydrolase	Enzyme; Formaldehyde degradation	S-formylglutathione hydrolase, formaldehyde degradation; S-lactoylglutathione hydrolase, may be involved in methylglyoxal detoxification in the cytoplasm; constitutively expressed, not induced by formaldehyde	Met Orth 	formaldehyde metabolic process
Yes	Yes	['PROTON // WATER // Pyrimidine-Nucleosides // Pyrimidine-Bases // D-Ribofuranose', 'WATER // CYTIDINE // D-Ribofuranose // CYTOSINE', 'WATER // URIDINE // D-Ribofuranose // URACIL']	EG12030	rihB	ribonucleoside hydrolase 2 (pyrimidine-specific)	characterized	characterized	6.81284340361E-08	0.03	0.818	0.311	0.317	N	u	u	ribonucleoside hydrolase 2	Null	Ribonucleoside hydrolase, pyrimidine specific; silent gene; in operon with nupX nucleoside transporter; induced by AI-2 pheromone	Met Orth 	pyrimidine ribonucleoside catabolic process
Yes	Yes	['PROTON // Alpha-lactose']	EG12034	setB	sugar / lactose efflux transporter SetB	characterized	characterized	2.68829895129E-07	0.09	0.708	0.2	0.171	N	u	u	lactose/glucose efflux system	Orf; Not classified	Glucose and lactose efflux transporter	Met Orth 	lactose transport
Can add reaction	Yes	['WATER // ATP // PROTOHEME // Pi // ADP // PROTON']	EG12055	ccmE	membrane anchored periplasmic heme chaperone CcmE	characterized	characterized	1.96332989862E-06	0.47	0.824	0.313	0.333	E	N	u	periplasmic heme chaperone	Putative enzyme; Energy metabolism, carbon: Electron transport	Heme chaperone, membrane-anchored, periplasmic	Met Orth 	protein-heme linkage
Can add reaction	Yes	['WATER // ATP // PROTOHEME // Pi // ADP // PROTON']	EG12057	ccmC	protoheme IX ABC transporter - membrane subunit CcmC	characterized	characterized	1.32659868004E-06	0.44	0.798	0.228	0.303	N	N	N	heme export ABC transporter permease; CcmE-interacting protein	Transport; Protein, peptide secretion	Heme export ABC transporter permease; delivers heme to and interacts with CcmE	Met Orth 	respiratory chain complex IV assembly
Can add reaction	Yes	['WATER // ATP // PROTOHEME // Pi // ADP // PROTON']	EG12058	ccmB	protoheme IX ABC transporter - membrane subunit CcmB	characterized	characterized	6.47211555884E-07	0.16	0.833	0.248	0.321	N	N	N	heme export ABC transporter permease	Transport; Protein, peptide secretion	Heme export ABC transporter permease	Met Orth 	heme transport
Can add reaction	Yes	['WATER // ATP // PROTOHEME // Pi // ADP // PROTON']	EG12059	ccmA	protoheme IX ABC transporter - ATP binding subunit	characterized	characterized	1.79516524799E-06	0.56	0.782	0.216	0.198	N	N	N	heme export ABC transporter ATPase	Transport; Protein, peptide secretion	Heme export ABC transporter ATPase	Met Orth 	heme transport
Can add reaction	Yes	['E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'PROTON // E- // NITRATE // NITRITE // WATER', 'NITRATE // Menaquinols // Menaquinones // WATER // NITRITE', 'NITRATE // Ubiquinols // Ubiquinones // WATER // NITRITE']	EG12060	napC	cytochrome c protein	characterized	characterized	9.4839807448E-07	0.28	0.81	0.357	0.386	N	N	N	quinol dehydrogenase, electron source for NapAB	Putative enzyme; Energy metabolism, carbon: Electron transport	Quinol dehydrogenase, electron source for NapAB; membrane-bound; bound hemes	Met Orth 	denitrification pathway
Can add reaction	Yes	['E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'PROTON // E- // NITRATE // NITRITE // WATER', 'NITRATE // Menaquinols // Menaquinones // WATER // NITRITE', 'NITRATE // Ubiquinols // Ubiquinones // WATER // NITRITE']	EG12061	napB	subunit of periplasmic nitrate reductase	characterized	characterized	6.37142155408E-07	0.19	0.762	0.301	0.406	N	N	N	nitrate reductase, small, cytochrome C550 subunit, periplasmic	Carrier; Energy metabolism, carbon: Electron transport	Nitrate reductase, periplasmic	Met Orth 	N/A
Can add reaction	Yes	['E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'PROTON // E- // NITRATE // NITRITE // WATER', 'NITRATE // Menaquinols // Menaquinones // WATER // NITRITE', 'NITRATE // Ubiquinols // Ubiquinones // WATER // NITRITE']	EG12062	napH	ferredoxin-type protein	characterized	characterized	1.57191658147E-07	0.03	0.774	0.346	0.329	N	N	N	ferredoxin-type protein	Carrier; Energy metabolism, carbon: Electron transport	Quinol dehydrogenase, membrane protein; polyferredoxin; mediates electron transfer from ubiquinol/naphthoquinone to NapAB, via NapC; non-haem, iron-sulfur protein	Met Orth 	N/A
Can add reaction	Yes	['E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'PROTON // E- // NITRATE // NITRITE // WATER', 'NITRATE // Menaquinols // Menaquinones // WATER // NITRITE', 'NITRATE // Ubiquinols // Ubiquinones // WATER // NITRITE']	EG12064	napG	ferredoxin-type protein	characterized	characterized	1.80175294847E-07	0.03	0.74	0.318	0.376	N	N	N	ferredoxin-type protein	Carrier; Energy metabolism, carbon: Electron transport	Quinol dehydrogenase, periplasmic protein; mediates electron transfer from ubiquinol/naphthoquinone to NapAB, via NapC; non-haem, iron-sulfur protein	Met Orth 	N/A
Can add reaction	Yes	['E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'PROTON // E- // NITRATE // NITRITE // WATER', 'NITRATE // Menaquinols // Menaquinones // WATER // NITRITE', 'NITRATE // Ubiquinols // Ubiquinones // WATER // NITRITE']	EG12067	napA	large subunit of periplasmic nitrate reductase	characterized	characterized	4.26331081988E-07	0.03	0.801	0.249	0.277	N	N	u	nitrate reductase, periplasmic, large subunit	Putative enzyme; Energy metabolism, carbon: Anaerobic respiration	Nitrate reductase, periplasmic	Met Orth 	N/A
Yes	Yes	['MAL // ETR-Quinones // ETR-Quinols // OXALACETIC_ACID', 'E- // PROTON // ETR-Quinones // ETR-Quinols', 'E- // PROTON // OXALACETIC_ACID // MAL']	EG12069	mqo	malate quinone oxidoreductase	characterized	characterized	2.85564946267E-05	1.00	0.827	0.326	0.329	N	N	u	malate dehydrogenase, FAD/NAD(P)-binding domain	Null	Malate oxidoreductase; possibly previously described FAD-dependent phospholipid-activated malate oxidase	Met Orth 	N/A
Yes	Yes	['WATER // ATP // NI+2 // ADP // Pi // PROTON']	EG12075	nikA	nickel ABC transporter - periplasmic binding protein	characterized	characterized	1.97376375643E-07	0.03	0.712	0.279	0.182	N	N	N	nickel/heme ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Cations	Nickel/heme ABC transporter periplasmic binding protein	Met Orth 	negative chemotaxis
Yes	Yes	['WATER // ATP // NI+2 // ADP // Pi // PROTON']	EG12076	nikB	nickel ABC transporter - membrane subunit	characterized	characterized	1.4293091864E-07	0.00	0.794	0.33	0.399	N	N	u	nickel ABC transporter permease	Transport; Transport of small molecules: Cations	Nickel ABC transporter permease	Met Orth 	nickel cation transmembrane transport
Yes	Yes	['WATER // ATP // NI+2 // ADP // Pi // PROTON']	EG12077	nikC	nickel ABC transporter - membrane subunit	characterized	characterized	8.63599868063E-08	0.00	0.794	0.231	0.209	N	N	N	nickel ABC transporter permease	Transport; Transport of small molecules: Cations	Nickel ABC transporter permease	Met Orth 	nickel cation transmembrane transport
Yes	Yes	['WATER // ATP // NI+2 // ADP // Pi // PROTON']	EG12078	nikD	nickel ABC transporter - ATP binding subunit	characterized	characterized	2.49693005331E-07	0.06	0.751	0.299	0.385	N	N	u	nickel ABC transporter ATPase	Transport; Transport of small molecules: Cations	Nickel ABC transporter ATPase	Met Orth 	nickel cation transport
Yes	Yes	['WATER // ATP // NI+2 // ADP // Pi // PROTON']	EG12079	nikE	nickel ABC transporter - ATP binding subunit	characterized	characterized	1.41638293785E-07	0.06	0.633	0.281	0.322	N	N	u	nickel ABC transporter ATPase	Transport; Transport of small molecules: Cations	Nickel ABC transporter ATPase	Met Orth 	nickel cation transport
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12082	nuoA	NADH ubiquinone oxidoreductase	characterized	characterized	3.4723859957E-05	1.00	0.561	0.297	0.297	N	N	N	NADH:ubiquinone oxidoreductase, membrane subunit A	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit A, complex I; NADH dehydrogenase I	Met Orth 	N/A
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12083	nuoB	NADH ubiquinone oxidoreductase	characterized	characterized	5.86952614845E-05	1.00	0.6	0.223	0.163	N	N	N	NADH:ubiquinone oxidoreductase, chain B	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit B, complex I; NADH dehydrogenase I	Met Orth 	N/A
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12084	nuoC	NADH ubiquinone oxidoreductase	characterized	characterized	4.91373654803E-05	1.00	0.532	0.374	0.634	N	N	N	NADH:ubiquinone oxidoreductase, fused CD subunit	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase, fused CD subunit, complex I; NADH dehydrogenase I	Met Orth 	N/A
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12086	nuoE	NADH ubiquinone oxidoreductase	characterized	characterized	6.80010530555E-05	1.00	0.395	0.25	0.26	X	N	N	NADH:ubiquinone oxidoreductase, chain E	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit E, complex I; NADH dehydrogenase I	Met Orth 	mitochondrial electron transport NADH to ubiquinone
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12087	nuoG	NADH ubiquinone oxidoreductase	characterized	characterized	3.24343925732E-05	1.00	0.588	0.389	0.417	N	N	N	NADH:ubiquinone oxidoreductase, chain G	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit G, complex I; NADH dehydrogenase I	Met Orth 	N/A
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12088	nuoH	NADH ubiquinone oxidoreductase	characterized	characterized	1.43124323273E-05	1.00	0.567	0.236	0.256	N	N	N	NADH:ubiquinone oxidoreductase, membrane subunit H	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit H, complex I; NADH dehydrogenase I	Met Orth 	N/A
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12089	nuoI	NADH ubiquinone oxidoreductase	characterized	characterized	1.2881829664E-05	1.00	0.556	0.349	0.481	N	N	N	NADH:ubiquinone oxidoreductase, chain I	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit I, complex I; NADH dehydrogenase I	Met Orth 	N/A
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12090	nuoJ	NADH ubiquinone oxidoreductase	characterized	characterized	4.3177946192E-06	0.94	0.53	0.337	0.331	N	N	N	NADH:ubiquinone oxidoreductase, membrane subunit J	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit J, complex I; NADH dehydrogenase I	Met Orth 	N/A
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12091	nuoK	NADH ubiquinone oxidoreductase	characterized	characterized	6.63759078058E-06	0.97	0.577	0.287	0.327	?	N	u	NADH:ubiquinone oxidoreductase, membrane subunit K	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit K, complex I; NADH dehydrogenase I	Met Orth 	N/A
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12092	nuoL	NADH ubiquinone oxidoreductase	characterized	characterized	4.3343905646E-06	0.94	0.513	0.262	0.358	N	N	N	NADH:ubiquinone oxidoreductase, membrane subunit L	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit L, complex I; NADH dehydrogenase I; NuoL facilitates the uptake of Na(+), is homologus to antiporters, and is implicated in proton pumping	Met Orth 	N/A
Yes	No	['PROTON', 'E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // NAD // NADH', 'NADH // Menaquinones // PROTON // Menaquinols // NAD', 'Ubiquinones // NADH // PROTON // NAD // Ubiquinols']	EG12093	nuoN	NADH ubiquinone oxidoreductase	characterized	characterized	6.94711096963E-06	1.00	0.519	0.327	0.319	N	N	u	NADH:ubiquinone oxidoreductase, membrane subunit N	Enzyme; Energy metabolism, carbon: Aerobic respiration	NADH:ubiquinone oxidoreductase subunit N, complex I; NADH dehydrogenase I	Met Orth 	N/A
Yes	Yes	['XYLULOSE-5-PHOSPHATE // ERYTHROSE-4P // FRUCTOSE-6P // GAP', 'GAP // D-SEDOHEPTULOSE-7-P // RIBOSE-5P // XYLULOSE-5-PHOSPHATE']	EG12100	tktB	transketolase II	characterized	characterized	8.99007462652E-06	1.00	0.823	0.311	0.315	N	N	u	transketolase 2, thiamine triphosphate-binding	Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway	Transketolase B; binds Zn(II)	Met Orth 	pentose-phosphate shunt non-oxidative branch
Yes	Yes	['FE+2']	EG12102	feoB	Fe(2+) transporter FeoB	characterized	characterized	1.55054178222E-05	1.00	0.869	0.231	0.223	N	N	N	ferrous iron transporter protein B and GTP-binding protein; membrane protein	Transport; Transport of small molecules: Cations	Putative ferrous iron permease with GTP-binding domain	Met Orth 	ferrous iron transport
Yes	Yes	['WATER // Ribonucleoside-Monophosphates // Ribonucleosides // Pi', 'WATER // AMP // ADENOSINE // Pi', 'WATER // CMP // CYTIDINE // Pi', 'WATER // UMP // URIDINE // Pi']	EG12115	yjjG	pyrimidine nucleotidase	characterized	unknown	7.57647431335E-06	0.94	0.832	0.459	0.636	N	N	u	dUMP phosphatase	Enzyme; Degradation of small molecules: Nucleotides	Noncanonical pyrimidine nucleotide house-cleaning phosphatase; dUMP phosphatase activity	Met Orth 	thymine metabolic process
Yes	Yes	['WATER // ATP // ADP // Pi // HIS // PROTON']	EG12124	hisJ	histidine ABC transporter - periplasmic binding protein	characterized	characterized	0.000080334	1.00	0.744	0.343	0.393	N	N	N	histidine ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Amino acids, amines	Histidine ABC transporter periplasmic binding protein	Met Orth 	N/A
Yes	Yes	['WATER // ATP // ADP // Pi // HIS // PROTON', 'WATER // ATP // ADP // Pi // ARG // PROTON', 'WATER // ATP // ADP // Pi // L-ORNITHINE // PROTON', 'WATER // ATP // LYS // ADP // Pi // PROTON']	EG12125	hisQ	lysine / arginine / ornithine ABC transporter / histidine ABC transporter - membrane subunit	characterized	characterized	1.11483171186E-05	1.00	0.805	0.377	0.463	N	N	u	histidine ABC transporter permease	Transport; Transport of small molecules: Amino acids, amines	Histidine ABC transporter permease	Met Orth 	N/A
Can add reaction	Yes	['TREHALOSE // PTSH-PHOSPHORYLATED // TREHALOSE-6P // PTSH-MONOMER']	EG12127	treB	trehalose PTS permease - TreB subunit	characterized	characterized	6.21275243663E-07	0.19	0.705	0.239	0.226	N	N	N	trehalose-specific PTS enzyme: IIB and IIC component	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Trehalose permease PTS EIIBC component	Met Orth 	trehalose transport
Yes	Yes	['PROTON // URACIL']	EG12129	uraA	uracil H<sup>+</sup> symporter	characterized	characterized	1.51876549254E-05	1.00	0.751	0.273	0.251	N	N	N	uracil permease	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Uracil permease; affects concentration dependence of pyr mutants	Met Orth 	uracil transport
Yes	Yes	['PROTON // HOMO-SER', 'PROTON // THR']	EG12134	rhtA	threonine / homoserine efflux transporter	characterized	characterized	1.49805246161E-06	0.31	0.775	0.372	0.4	N	N	N	threonine and homoserine efflux system	Putative membrane; Not classified	Transporter involved in threonine and homoserine efflux; overproduction confers resistance to elevated levels of exogenous L-threonine and L-homoserine	Met Orth 	N/A
Yes	Yes	['PROTON // SER']	EG12142	sdaC	serine H<sup>+</sup> symporter SdaC	characterized	characterized	0.000006424	0.91	0.722	0.403	0.646	N	N	N	putative serine transporter	Putative transport; Transport of small molecules: Amino acids, amines	L-serine:H+ symport permease, threonine-insensitive	Met Orth 	L-serine biosynthetic process
Yes	Yes	['GLC-1-P // Phosphorylated-phosphoglucomutase // ALPHA-GLUCOSE-16-BISPHOSPHATE // Phosphoglucomutase', 'GLC-1-P // D-glucopyranose-6-phosphate', 'Phosphoglucomutase // ALPHA-GLUCOSE-16-BISPHOSPHATE // D-glucopyranose-6-phosphate // Phosphorylated-phosphoglucomutase']	EG12144	pgm	phosphoglucomutase	characterized	characterized	3.97214918315E-05	1.00	0.363	0.169	0.158	N	N	u	phosphoglucomutase	Enzyme; Degradation of small molecules: Carbon compounds	Phosphoglucomutase	Met Orth 	N/A
Yes	Yes	['PROTON // D-galactopyranose', 'PROTON // Glucopyranose']	EG12148	galP	galactose H<sup>+</sup> symporter	characterized	characterized	8.02237481379E-06	0.97	0.932	0.305	0.332	N	N	N	D-galactose transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-galactose/H+ symporter	Met Orth 	galactose transport
Can add reaction	Yes	['ALPHA-RIBAZOLE-5-P // ADENOSYLCOBINAMIDE-GDP // ADENOSYLCOBALAMIN-5-P // GMP // PROTON']	EG12150	cobS	cobalamin 5-phosphate synthase / cobalamin synthase	characterized	characterized	2.7514394606E-06	0.81	0.81	0.214	0.269	N	N	N	cobalamin synthase	Enzyme; Biosynthesis of cofactors, carriers: Cobalamin	Cobalamin synthase	Met Orth 	cobalamin biosynthetic process
Can add reaction	Yes	['DIMETHYLBENZIMIDAZOLE // NICOTINATE_NUCLEOTIDE // PROTON // NIACINE // ALPHA-RIBAZOLE-5-P']	EG12151	cobT	CobT	characterized	characterized	5.95242272188E-06	0.84	0.795	0.215	0.238	N	N	N	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	Enzyme; Biosynthesis of cofactors, carriers: Cobalamin	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase; partial cobalamin biosynthesis pathway present in E. coli	Met Orth 	cobalamin biosynthetic process
Yes	Yes	['GLUCONATE // ATP // PROTON // ADP // CPD-2961']	EG12152	idnK	D-gluconate kinase	characterized	characterized	5.77736777008E-07	0.19	0.775	0.23	0.14	N	N	u	D-gluconate kinase, thermosensitive	Enzyme; Degradation of small molecules: Carbon compounds	D-gluconate kinase	Met Orth 	L-idonate catabolic process
