Downloaded smart table from ecocyc for all compounds with added column for common name
"Compound"	"Common-Name"
CPD-650	"(3<i>R</i>)-3-hydroxybutanoyl-CoA"
5-HYDROXYISOURATE	"(<i>S</i>)-5-hydroxyisourate"
CPD0-2636	"&beta;-D-allose 1-phosphate"
CPD0-1939	"hoechst 33342"
CPD-8181	"DNA with lesion resolved through Rec-mediated pathway"
CPD-14443	"(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate"
FUCULOSE-1P	"L-fuculose 1-phosphate"
34-DIHYDROXYPHENYLACETALDEHYDE	"3,4-dihydroxyphenylacetaldehyde"
CPD-8199	"a mismatched DNA base pair"
CPD0-1816	"1,3-dioctanoyl-1,2,3-butanetriol"
CPD-13315	"tetrahydrocurcumin"
CPD-22519	"a DNA with nonadjacent thymidines"
23-PENTANEDIONE	"2,3-pentane-dione"
CPD0-1716	"2-amino-6-hydroxymethyl-7,7-dimethyl-7,8-dihydropteridin-4-one"
CPD-8200	"a properly matched DNA base pair"
17-DIAMINOHEPTANE	"1,7-diaminoheptane"
CPD0-1678	"trimethylacetaldehyde"
CPD-8180	"DNA with lesion"
TETRAHYDROTHIOPHENE-1-OXIDE	"tetrahydrothiophene 1-oxide"
CPD0-1643	"<i>N</i>-acetyl-&alpha;-D-muramate 1-phosphate"
S-ACETYLPHOSPHOPANTETHEINE	"S-acetyl phosphopantetheine"
CPD0-1604	"2-hydroxy-3-butynoate"
PHOSPHORYL-CHOLINE	"phosphocholine"
CPD0-1558	"&beta;-2-thienyl-D,L-Alanine"
O-SUCCINYLBENZOATE	"2-succinylbenzoate"
Alpha-lactose	"&alpha;-lactose"
CPD0-1506	"ketodeoxyheptonate"
METHYLMETHANETHIOSULFONATE	"methylmethanethiosulfonate"
CELLOBIOSE	"&beta;-D-cellobiose"
CPD0-1483	"8-keto-7-aminoperlagonate"
KDO-8P	"3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate"
CPD0-1437	"UO<sup>2+</sup>"
HYDROGEN-MOLECULE	"H<SUB>2</SUB>"
CPD0-1400	"5'-amino-5'-deoxyadenosine"
CPD-3605	"&beta;-gentiobiose"
FARNESYLFARNESYLGERANIOL	"farnesylfarnesylgeraniol"
CPD-230	"&beta;-palatinose"
CPD0-1328	"N-acetylmuramate(alpha-methyl)-L-alanyl-D-glutamate"
TREHALOSE	"&alpha;,&alpha;-trehalose"
DIISOPROPYL-FLUOROPHOSPHATE	"diisopropyl fluorophosphate"
CPD-13227	"<i>N,N',N''</i>-triacetylchitotriose"
WATER	"H<sub>2</sub>O"
CPD0-1245	"D,L- &gamma;-hydroxyphosphinothricin"
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	"2-dehydro-3-deoxy-D-galactonate 6-phosphate"
CPD0-1157	"methyl-1,4-benzoquinol"
CPD0-923	"3-fluorotyrosine"
CPD-19300	"N,N',N'',N''',N'''',N'''''-hexaacetyl chitohexaose"
CPD0-1063	"2-<I>O</I>-(6-phospho-&alpha;-D-mannosyl)-D-glycerate"
CPD-19461	"cyclobis-(1&rarr;6)-&alpha;-nigerosyl"
CPD0-2624	"4-hydroxy-3-nitrophenylacetaldehyde"
CPD-170	"stachyose"
CPD-9923	"(1<i>R</i>,6<i>R</i>)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate"
CPD-17528	"acarbose"
CPD0-2527	"<i>p</i>-anisidine"
CPD-19298	"N,N',N'',N'''-tetraacetyl chitotetraose"
CPD0-2515	"3-(glutathion-<i>S</i>-yl)-2-methyl-1,4-naphthohydroquinone"
CPD-8815	"4-methylsalicylate"
CPD-19299	"N,N',N'',N''',N''''-pentaacetyl chitopentaose"
CPD0-2463	"5-phospho-&alpha;-D-ribose 1,2-cyclic phosphate"
CPD-6972	"4-(2'-carboxyphenyl)-4-oxobutyryl-CoA"
CPD-1142	"salicin"
CPD0-2340	"(<i>Z</i>)-3-peroxyaminoacrylate"
CPD-13409	"melezitose"
CPD-581	"N,N-Dimethylformamide"
CPD-6562	"DIMBOA-&beta;-D-glucoside"
CPD-12763	"5-aminopentanal"
CPD-1099	"raffinose"
CPD0-2273	"two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
CPD-4748	"3-aminobutanoate"
CPD-10551	"(4S)-4-hydroxy-5-phosphooxypentane-2,3-dione"
CPD0-2194	"acyl phosphatidylglycerol (n-C12:0)"
CPD-3624	"sorbate"
CARBON-DIOXIDE	"CO<SUB>2</SUB>"
CPD0-2095	"6,7-dihydro-6-methyl-pterin"
CPD-280	"glutarate semialdehyde"
AMINO-HYDROXYMETHYL-METHYL-PYR-P	"4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine"
CPD0-2067	"captopril"
CPD-19751	"2-formylpyridine"
6-THIO-OCTANOATE	"6-thio-octanoate"
CPD0-2021	"bacimethrin pyrophosphate"
D-TAGATURONATE	"D-tagaturonate"
CPD-17573	"syringaldazine"
5-CHLOROFORMYCIN	"5'-chloroformycin"
CPD0-1936	"3-deoxy-D-glucose"
CPD-13993	"3-[(4-amino-6-chloro-1,3,5-triazin-2-yl)amino]benzenesulfonate"
3-KETO-L-GULONATE	"3-keto-L-gulonate"
CPD-20969	"5,6-diaminouracil"
CPD0-1810	"1,2-di<i>-O-</i>octylglycerol"
2-METHYLMALEATE	"citraconate"
CPD0-1708	"5-chloro-2-propyl-3-[2''-(1H-tetrazol-5-ylmethyl)-[1,1',4',1'']terphenyl-4-yl]-3H-imidazo[4,5-b]pyridine"
CPD-255	"(S)-acetoin"
11-DEOXYCORTICOSTERONE	"11-deoxycorticosterone"
2-PG	"2-phospho-D-glycerate"
CPD0-1664	"(E)-&alpha;-monofluoromethyldehydroarginine"
CPD-15159	"(6R)-6,7-dihydrobiopterin"
TARTRONATE-S-ALD	"tartronate semialdehyde"
UREA	"urea"
CPD0-1633	"hydroxyquinoline N oxide"
ACETAMIDE	"acetamide"
RIBOSE-15-BISPHOSPHATE	"&alpha;-D-ribose 1,5-bisphosphate"
CPD-19237	"<i>N</i>-methylacetamide"
CPD0-1594	"2,4-diamino-6-ethyl-5,3'-(2-trifluoromethyl-4-sulphonamidophenoxy)prop-1'-yloxypyrimidine"
PHENYLHYDANTOIN	"D-phenylhydantoin"
L-GAMMA-GLUTAMYLCYSTEINE	"&gamma;-L-glutamyl-L-cysteine"
CPD0-1554	"3-propylphosphoenolpyruvate"
N2-SUCCINYLORNITHINE	"N<sup>2</sup>-succinyl-L-ornithine"
CPD0-1500	"4-methylene diaminopimelate"
MALONATE	"malonate"
CPD0-1476	"chloral hydrate"
ISOCHORISMATE	"isochorismate"
CPD0-1431	"benzylguanidine"
HISTIDINAL	"histidinal"
CPD0-1396	"5'-(dimethylsulfonio)-5'-deoxyadenosine"
ETHYL-2-METHYLACETOACETATE	"ethyl-2-methylacetoacetate"
CPD0-1310	"2-keto-4-hydroxybutanoate"
DIHYDROXY-BUTANONE-P	"1-deoxy-L-glycero-tetrulose 4-phosphate"
CPD0-2113	"1-stearoyl-<i>sn</i>-glycerol 3-phosphate"
TRANS-23-DEHYDROADIPYL-COA	"trans-2,3-dehydroadipyl-coA"
S-LACTOYL-GLUTATHIONE	"(<i>R</i>)-<i>S</i>-lactoylglutathione"
CPD0-1234	"isoleucine tetrazole"
CPD-18375	"cardiolipin (1,3-palmitoyl, 2,4-cis-9,10-methylene hexadecanoyl)"
DCPIP	"oxidized DCPIP"
CPD-18371	"phosphatidylethanolamine (1-palmitoyl, 2-cis-9,10-methylene hexadecanoyl)"
CPD0-1152	"<i>N</i>-pentylpantothenamide"
CPD-18404	"phosphatidylethanolamine (1-myristoyl, 2-cis-9,10-methylene hexadecanoyl)"
CPD0-914	"5'-O-[N-(L-aspartyl)sulfamoyl]adenosine"
CPD-18372	"phosphatidylethanolamine (1-palmitoyl, 2-lactobacilloyl)"
CPD0-1057	"diaminobiotin"
CPD-18405	"phosphatidylglycerol (1-myristoyl, 2-cis-9,10-methylene hexadecanoyl)"
CPD0-2582	"(3<i>R</i>)-3,4-dihydroxybutanal"
CPD-18373	"phosphatidylglycerol (1-palmitoyl, 2-cis-9,10-methylene hexadecanoyl)"
CPD-9384	"&gamma;-glutamyl-ethylamide"
CPD-18406	"phosphatidylglycerol (1-palmitoyl, 2-lactobacilloyl)"
CPD0-2496	"<i>N</i><sup>4</sup>-aminocytidine"
S-METHYLGLUTATHIONE	"<i>S</i>-methylglutathione"
CPD-809	"biuret"
CPD0-2511	"6-(glutathion-<i>S</i>-yl)-2-methylhydroquinone"
CPD0-2400	"7-methyl-preQ<sub>0</sub>"
CPD0-1455	"<i>S</i>-hexylglutathione"
CPD-6761	"(2E)-2-hydroxypenta-2,4-dienoate"
CPD-18396	"phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)"
CPD0-2336	"paraquat"
CPD-18352	"1-palmitoyl-2-cis-vaccenoyl phosphatidate"
CPD-5662	"9-mercaptodethiobiotin"
CPD-18353	"1,2-dicis-vaccenoyl-phosphatidate"
CPD-12279	"2-iminoacetate"
CPD-18403	"phosphatidylethanolamine (1-myristoyl, 2-palmitoleoyl)"
CPD0-2266	"three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala), one uncrosslinked tetrapaptide) (middle of chain)"
CPD-18369	"phosphatidylethanolamine (1-palmitoyl, 2-cis-vaccenoyl)"
CPD-4544	"tellurite"
CPD-18361	"phosphatidylglycerol (1-palmitoyl, 2-palmitoleoyl)"
CPD-10145	"ferricyanide"
CPD-18370	"phosphatidylethanolamine (1,2-di-<i>cis</i>-vaccenoyl)"
CPD0-2178	"2-acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)"
CPD-18362	"phosphatidylglycerol (1-palmitoyl, 2-cis-vaccenoyl)"
CPD-3614	"sedoheptulose anhydride"
CPD-18392	"phosphatidylglycerol (1-myristoyl, 2-palmitoleoyl)"
BUTYLAMINE	"<i>n</i>-butylamine"
CPD-18367	"phosphatidylethanolamine (1-palmitoyl, 2-palmitoleoyl)"
CPD0-2089	"phenyl sulfoxide"
CPD-2343	"3-keto-L-gulonate 6-phosphate"
ALPHA-RIBAZOLE	"&alpha;-ribazole"
CPD0-2059	"2,3,4-trihydroxybenzoate"
CPD-19296	"cefsulodin"
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	"2-(formamido)-N<sup>1</sup>-(5-phospho-&beta;-D-ribosyl)acetamidine"
CPD0-2017	"N-&alpha;-acetyl-arginine"
CPD-16491	"2,6-diamino-4-hydroxy-5-(<i>N</i>-methyl)formamidopyrimidine"
5-AMINO-5-DEOXY-D-GALACTOPYRANOSIDE	"5-amino-5-deoxy-D-galactopyranoside"
CPD0-1918	"AsSb<sub>2</sub>H<sub>3</sub>O<sub>6</sub>"
CPD-13914	"cyclic-2,3-<i>O</i>-oxalyl-L-threonate"
3-ENOLPYRUVYL-SHIKIMATE-5P	"5-enolpyruvoyl-shikimate 3-phosphate"
CPD0-1808	"1,2-dioctanoyl-1-amino-2,3-propanediol"
2-KETO-3-DEOXY-6-P-GLUCONATE	"2-dehydro-3-deoxy-D-gluconate 6-phosphate"
MALTOPENTAOSE	"maltopentaose"
CPD0-1692	"sulfometuron methyl"
MALTOTETRAOSE	"maltotetraose"
1-AMINO-PROPAN-2-ONE-3-PHOSPHATE	"3-amino-1-hydroxyacetone 1-phosphate"
CPD0-1133	"maltoheptaose"
CPD0-1661	"&alpha;-monofluoromethylagmatine"
MALTOHEXAOSE	"maltohexaose"
SUCC-S-ALD	"succinate semialdehyde"
CPD-1843	"(<i>S</i>)-3-hydroxybutanoate"
CPD0-1624	"fluoroaluminate"
QUINATE	"L-quinate"
CPD-335	"(<i>R</i>)-3-hydroxybutanoate"
CPD0-1588	"2,4-diamino-6-methyl-5,3'-(3-trifluoromethylphenoxy)prop-1'-yloxypyrimidine"
PANTOYL-LACTONE	"(<i>R</i>)-pantolactone"
CPD0-1537	"2-(4-amino-4-carboxybutyl)aziridine-2-carboxylate"
N-SUCCINYL-2-AMINO-6-KETOPIMELATE	"<i>N</i>-succinyl-2-amino-6-ketopimelate"
CPD0-1496	"sodium arsenite"
LIPOAMIDE	"lipoamide"
CPD0-2658	"3-dehydro-1-<i>O</i>-methyl-&beta;-D-gulose"
CPD0-1470	"guanidinium"
IMIDAZOLE-PYRUVATE	"imidazole-pyruvate"
CPD0-2656	"3-dehydro-1-<i>O</i>-methyl-&alpha;-D-gulose"
CPD0-1426	"pyrithiamine phosphate"
2-DEHYDRO-3-DEOXY-D-GALACTONATE	"2-dehydro-3-deoxy-D-galactonate"
H2CO3	"carbonic acid"
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE	"S-adenosyl-4-methylsulfanyl-2-oxobutanoate"
CPD0-1359	"calpeptin"
CPD-291	"2-oxopimelate"
ENOL-PHENYLPYRUVATE	"enol-phenylpyruvate"
CPD-804	"(4S)-4-hydroxy-2-oxoheptanedioate"
CPD0-1296	"1-ethyl-3-(3-dimethylaminopropyl)-carbodiimide"
CPD-9247	"<i>cis</i>-vaccenate"
DIETHYLPYROCARBONATE	"diethylpyrocarbonate"
OXOPENTENOATE	"2-oxopent-4-enoate"
THIAMINE-P	"thiamine phosphate"
CPD-13059	"2-keto-L-gulonate"
CPD0-1230	"beryllium fluoride"
2-DEHYDRO-3-DEOXY-D-GLUCONATE	"2-dehydro-3-deoxy-D-gluconate"
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	"D-<i>erythro</i>-1-(imidazol-4-yl)-glycerol 3-phosphate"
GLYOX	"glyoxylate"
CPD0-1141	"3,3-dimethyl-2-oxobutyric acid 5-(6-aminopurin-9-yl)-3,4-dihydroxytetrahydrofuran-2-ylmethyl ester"
2-KETO-3-METHYL-VALERATE	"(<i>S</i>)-3-methyl-2-oxopentanoate"
CPD0-888	"4-deoxy-4-formamido-&alpha;-L-arabinopyranosyl <i>ditrans,octacis</i>-undecaprenyl phosphate"
4-HYDROXY-2-KETOVALERATE	"(<i>S</i>)-4-hydroxy-2-oxopentanoate"
CPD0-1053	"UDP-[3-F]galactofuranose"
PHENYL-PYRUVATE	"3-phenyl-2-oxopropanoate"
CPD0-2575	"tretazicar"
3-BROMOPYRUVATE	"3-bromopyruvate"
CPD-9233	"cefoxitin"
CEPHALOSPORIN-C	"cephalosporin C"
CPD-9224	"oxacillin"
CPD-377	"2-keto-D-gluconate"
CPD0-2483	"<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine trimer"
CPD0-2609	"cephapirin"
CPD-7682	"1-piperideine 6-carboxylate"
CPD-19411	"(2S)-2-amino-4-pentenoate"
CPD0-2381	"methanetelluronate"
CPD-9230	"cephalosporin 87/312"
CPD-6301	"<i>N-P</i>-tosyl-L-phenylalanyl chloromethyl ketone"
34-DIHYDROXYPHENYLPYRUVATE	"3-(3,4-dihydroxyphenyl)pyruvate"
CPD0-2303	"3-carboxybenzaldehyde"
CPD0-2610	"cefaclor"
CPD-560	"5-(methylsulfanyl)-&alpha;-D-ribose"
2-OXOBUTANOATE	"2-oxobutanoate"
CPD-11763	"bisorganyltrisulfane"
CPD0-2601	"ceftobiprole"
CPD0-2223	"2-acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)"
2-KETO-GLUTARAMATE	"2-oxoglutaramate"
CPD-444	"<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate"
CPD0-2614	"cefazolin"
COPROPORPHYRINOGEN_III	"coproporphyrinogen III"
CPD-14441	"(3E)-2-oxopent-3-enoate"
CPD0-2162	"1-acyl-sn-glycero-3-phosphoglycerol (n-C16:0)"
CPD0-2602	"cefepime"
CPD-3566	"Tween 20"
3OH-4P-OH-ALPHA-KETOBUTYRATE	"(3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate"
BISGLYCEROPHOSPHOGLYCEROL	"bis(glycerophosphoglycerol)"
P-HYDROXY-PHENYLPYRUVATE	"3-(4-hydroxyphenyl)pyruvate"
CPD0-2086	"adenosine-N1-oxide"
CPD0-1200	"2-dehydro-3-deoxy-L-mannonate"
CPD-21703	"3-hydroxypropanal hydrate"
2-KETO-ISOVALERATE	"3-methyl-2-oxobutanoate"
ADIPATE	"adipate"
CPD-3618	"2-oxovalerate"
CPD0-2054	"ethylthioacetoacetate"
CPD-9229	"cephalothin"
CPD-19179	"(8<i>S</i>)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate"
BUTYRIC_ACID	"butanoate"
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	"<i>N</i><sup>2</sup>-formyl-<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide"
CPD-12294	"ceftriaxone"
CPD0-1961	"4-methylmorpholine N-oxide"
HEXANOATE	"hexanoate"
CPD-15435	"(L-threonylcarbamoyl)adenylate"
CPD0-2068	"cephradine"
4-HYDROXYPHENYLACETYL-COA	"4-hydroxyphenylacetyl-CoA"
DODECANOATE	"laurate"
CPD0-1901	"DL-o-phenylalanine"
CPD-9227	"cephalexin"
CPD-13910	"cyclic- 3,4-<i>O</i>-oxalyl-L-threonate"
PALMITATE	"palmitate"
3-CARBOXY-3-HYDROXY-ISOCAPROATE	"(2<i>S</i>)-2-isopropylmalate"
CPD-9228	"cephaloridine"
CPD0-1762	"1,2-dioctanoyl-1,2,3-butanetriol"
CPD-7836	"myristate"
2-DEHYDROPANTOYL-LACTONE	"2-dehydropantolactone"
CPD-195	"octanoate"
CPD0-1689	"3-undecyl-2-hydroxyl-1,4-naphthoquinone"
STEARIC_ACID	"stearate"
CPD0-1656	"glucuronamide"
CPD0-2599	"mecillinam"
SHIKIMATE-5P	"shikimate 3-phosphate"
CPD-19659	"tridecanoate"
CPD0-1615	"2-amino-3-phosphonopropanoate"
CPD-19953	"cefoperazone"
PSICOSELYSINE	"N<sup>6</sup>-(D-psicosyl)-L-lysine"
CPD-3617	"decanoate"
CPD0-1584	"2,4-diamino-6-ethyl-5,3'-(2-cyclohexylphenoxy)prop-1'-yloxypyrimidine"
CPD-21283	"nafcillin"
PAMIDRONATE	"pamidronate"
CPD0-1533	"(2R,3S,6S)-3-fluoro-2,6-diaminopimelate"
6-AMINOPENICILLANATE	"6-aminopenicillanate"
N-DELTA-PHOSPHONOACETYL-L-ORNITHINE	"<i>N</i>-&delta;-(phosphonoacetyl)-L-ornithine"
CPD0-1491	"3-amino-1,2,4-triazole"
CPD0-2597	"faropenem"
L-GLUTAMATE-5-P	"&gamma;-L-glutamyl 5-phosphate"
CPD0-1465	"adenosine 5'[&beta;,&gamma;-methylene]triphosphate"
CPD-19952	"piperacillin"
HYPOTAURINE	"hypotaurine"
CPD0-1407	"isoniazid-NADP"
GLUTACONATE	"(<i>E</i>)-glutaconate"
CPD0-1353	"fluoropyruvate"
DMSO	"dimethyl sulfoxide"
CPD0-1274	"3,5-dihydroxybenzoate"
2K-4CH3-PENTANOATE	"4-methyl-2-oxopentanoate"
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR	"2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one"
CPD0-1218	"N-hydroxy-N-isopropyloxamate"
OLEATE-CPD	"oleate"
D-6-P-GLUCONO-DELTA-LACTONE	"6-phospho D-glucono-1,5-lactone"
CPD0-1159	"(3E,5Z)-tetradecadienoate"
CPD0-1119	"As<sub>3</sub>H<sub>3</sub>O<sub>6</sub>"
BROMOACETATE	"bromoacetate"
CPD0-341	"S-succinyl-dihydrolipoamide"
CPD0-1037	"2-thiouridine 5'-triphosphate"
CPD-13405	"bromosuccinate"
CPD0-2558	"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA"
CPD-9000	"4-(&gamma;-L-glutamylamino)butanoate"
CTAB	"CTAB"
CPD0-2477	"3-propylcatechol"
CPD-763	"arsenite"
CPD0-1025	"bromohydrin of isopentenyl pyrophosphate"
CPD0-2364	"3-oxo-5,6-didehydrosuberyl-CoA"
CPD-6124	"1-pyrroline"
N-BROMOSUCCINIMIDE	"N-bromosuccinimide"
CPD0-2289	"rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate"
CPD-546	"methylmalonate"
CPD-1114	"D-arabinonate"
CPD0-2217	"cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)"
CPD-3747	"sulfolane"
CIT	"citrate"
CPD0-2144	"1-acyl-sn-glycero-3-phosphoglycerol (n-C12:0)"
CPD0-2064	"(11S)-11-hydroperoxylinoleate"
CPD-343	"3-deoxy-D-glycero-2,5-hexodiulosonate"
BACIMETHRIN	"bacimethrin"
CPD0-2083	"nicotinamide N-oxide"
CPD-21070	"3,6-diamino-10-methylacridinium"
BUTYL-HYDROPEROXIDE	"tertiary butyl hydroperoxide"
8-THIO-OCTANOATE	"8-thio-octanoate"
CPD0-1449	"cumene hydroperoxide"
CPD0-2041	"imidodiphosphate"
CPD-18734	"5-phospho-D-arabinonate"
5-METHYLTHIOTUBERCIDIN	"5'-(methylsulfanyl)tubercidin"
CPD0-1946	"L-Ala-D-Met"
CPD-15157	"5-phospho-D-arabinonohydroxamate"
4-CARBOXYBENZALDEHYDE	"4-carboxybenzaldehyde"
CPD0-1891	"&gamma;-Glu-Ala-Gly-CHO"
CPD-13890	"4-(oxoacetyl)phenoxyacetate"
3-AMINO-12-PROPANEDIOL	"3-amino-1,2-propanediol"
CPD0-1759	"<i>sn</i>-1,2-di(2-propylpentanoyl)glycerol"
2-CARBOXYMUCONATE	"2-carboxymuconate"
CPD0-1684	"N<SUP>1</SUP>, N<SUP>12</SUP>-bis(ethyl)spermine"
CPD0-1652	"4-methylpyrazole"
S-HYDROXYMETHYLGLUTATHIONE	"<i>S</i>-(hydroxymethyl)glutathione"
SELENOLIPOATE	"selenolipoate"
CPD0-1610	"NaCN"
CPD-548	"<i>S</i>-formylglutathione"
PRENOL	"prenol"
CPD0-1575	"&beta;-thiogardideazafolate"
S-NITROSOGLUTATHIONE	"<i>S</i>-nitrosoglutathione"
OXAMATE	"oxamate"
CPD0-1525	"&alpha;-oxo-1-carboxy-5,6-dihydrothiopyranpropanoate S-oxide"
CPD0-2370	"<i>S</i>-(acet-2-yl)-glutathione"
N-5-PHOSPHORIBOSYL-ANTHRANILATE	"<i>N</i>-(5-phosphoribosyl)-anthranilate"
CPD0-1488	"5-methylanthranilate"
CPD-19217	"<i>S</i>-(hydroxysulfenamide)glutathione"
L-ARGININO-SUCCINATE	"L-arginino-succinate"
CPD0-1457	"ethyleneglycol phosphate"
CPD-21160	"(glutathion-<i>S</i>-yl)-bimane"
HYDROXYMETHYLBILANE	"preuroporphyrinogen"
CPD0-1404	"9-[6(RS)-8-diamino-5,6,7,8-tetradeoxy-&beta;-D-ribo-octofuranosyl]-9H-purin-6-amine"
GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH	"4-(&gamma;-L-glutamylamino)butanal"
CPD0-1333	"DDP-N-acetylmuramoyl-L-alanyl-&gamma;-D-glutamyl-meso-2,6-diaminoheptanedioate"
DIMETHYLSUBERIMIDATE	"dimethylsuberimidate"
CPD0-1260	"DL-2-aminopropan-1-ol"
DEOXYMORPHOLINOFRUCTOSE	"1-deoxy-1-morpholino-D-fructose"
CPD0-1197	"L-mannonate"
CPDMETA-13650	"3-oxo-5,6-didehydrosuberyl-CoA semialdehyde"
CPD0-1096	"glucosamine 1,6-diphosphate"
GLUTATHIONYLSPERMIDINE	"glutathionylspermidine"
CPD0-2668	"1-<i>O</i>-methyl-&beta;-D-glucose"
CPD0-1033	"psicofuranine"
CPD-13908	"selenodiglutathione"
CPD0-2550	"m<sup>5</sup>UTP"
OXIDIZED-GLUTATHIONE	"glutathione disulfide"
CPD0-2379	"glutathionylspermidine disulfide"
CPD-9245	"palmitoleate"
ALPHA-D-MANNOSYL-3-PHOSPHOGLYCERATE	"2-<i>O</i>-(&alpha;-D-mannosyl)-3-phospho-D-glycerate"
GLYCERATE	"(<i>R</i>)-glycerate"
CPD-9190	"2-<i>O</i>-(&alpha;-D-glucopyranosyl)-D-glycerate"
2-O-ALPHA-MANNOSYL-D-GLYCERATE	"2-<i>O</i>-(&alpha;-D-mannosyl)-D-glycerate"
DPG	"3-phospho-D-glyceroyl phosphate"
23-DIPHOSPHOGLYCERATE	"2,3-diphospho-D-glycerate"
G3P	"3-phospho-D-glycerate"
L-DELTA1-PYRROLINE_5-CARBOXYLATE	"(<i>S</i>)-1-pyrroline-5-carboxylate"
THREO-DS-ISO-CITRATE	"D-<i>threo</i>-isocitrate"
BENZOATE	"benzoate"
P-AMINO-BENZOATE	"4-aminobenzoate"
3-HYDROXYBENZOATE	"3-hydroxybenzoate"
CPD-8876	"dodecyl sulfate"
ALLOLACTOSE	"allolactose"
MELIBIOSE	"melibiose"
CPD-3801	"melibionate"
CPD-13399	"&beta;-turanose"
SUCROSE	"sucrose"
CPD0-1202	"isoprimeverose"
CPD-3561	"lactulose"
CPD0-2536	"&alpha;-D-glucopyranosyl-(1&rarr;2)-D-galactopyranose"
CPD-3785	"3-O-&beta;-D-galactopyranosyl-D-arabinose"
CPD-21522	"colanic acid repeating unit"
CPD0-1280	"tetraacyldisaccharide 4-phosphate"
CPD-21599	"8-azido-3,8-dideoxy-D-<i>manno</i>-2-octulosonate"
DEHYDRO-3-DEOXY-L-RHAMNONATE	"2-dehydro-3-deoxy-L-rhamnonate"
2-DH-3-DO-D-ARABINONATE	"2-dehydro-3-deoxy-D-arabinonate"
CPD-19753	"2-dehydro-3-deoxy-D-octonate"
10-FORMYL-THF	"10-formyl-tetrahydrofolate mono-L-glutamate"
CPD0-1255	"10-methyl-5,6,7,8-tetrahydropteroylglutamate"
CPD-14932	"<i>N</i><sup>10</sup>-formyldihydrofolate"
D-TYROSINE	"D-tyrosine"
CPD-12151	"D-histidine"
CPD-216	"D-phenylalanine"
D-TRYPTOPHAN	"D-tryptophan"
B-ALANINE	"&beta;-alanine"
CPD0-1032	"(R)-&beta;-lysine"
CPD-9793	"alpha-aminopimelate"
CPD-18661	"L-selenaproline"
3-SULFINOALANINE	"3-sulfino-L-alanine"
L-ASPARTATE-SEMIALDEHYDE	"L-aspartate 4-semialdehyde"
CPD0-1564	"D-cystine"
CPD-3739	"L-methionine sulfone"
CPD-12255	"D-homoserine"
O-PHOSPHO-L-HOMOSERINE	"O-phospho-L-homoserine"
L-DIHYDROXY-PHENYLALANINE	"L-dopa"
MENADIOL	"menadiol"
HOMO-SER	"L-homoserine"
CPD-19763	"2,3,5-trichloro-6-(glutathion-S-yl)-hydroquinone"
CYSTINE	"L-cystine"
CPD-7249	"6-decylubiquinol"
CPD-68	"1-aminocyclopropane-1-carboxylate"
HYDROQUINONE	"hydroquinone"
CPD-15403	"<i>S</i>-adenosyl-<i>S</i>-carboxymethyl-L-homocysteine"
O-SUCCINYL-L-HOMOSERINE	"O-succinyl-L-homoserine"
L-GLUTAMATE_GAMMA-SEMIALDEHYDE	"L-glutamate-5-semialdehyde"
HOMOCYSTINE	"L,L-homocystine"
FRUCTOSEGLYCINE	"fructosylglycine"
CPD-298	"<i>N</i>-methyl-L-alanine"
CPD-404	"<i>N</i>-methyl-L-glutamate"
N-METHYLTRYPTOPHAN	"<I>N</I>-methyl-L-tryptophan"
CPD0-1507	"O-methylserine"
CPD0-1614	"2-methylaspartate"
L-THREO-3-METHYL-ASPARTATE	"(2S, 3S)-3-methylaspartate"
CPD0-1544	"7-methyl-L-tryptophan"
CPD0-2375	"4-hydroxy-L-<i>allo</i>-threonine"
4-HYDROXY-L-PROLINE	"<i>trans</i>-4-hydroxy-L-proline"
CPD0-2189	"4-hydroxy-L-threonine"
3-P-SERINE	"<i>O</i>-phospho-L-serine"
CPD-3722	"O-phospho-D-serine"
