  Reactions   	  Enzymes of a reaction  	  Object ID  	  Object ID  	  Reaction-Direction  	  Substrates  	  Left  	  Right  
an acyl-[acyl-carrier protein] + NAD+↔ a trans-2-enoyl-[acyl-carrier protein] + NADH + H+	enoyl-[acyl-carrier-protein] reductase	CPLX0-8006	1.3.1.9-RXN	REVERSIBLE	"NAD+
an acyl-[acyl-carrier protein]
a trans-2-enoyl-[acyl-carrier protein]
NADH
H+"	"an acyl-[acyl-carrier protein]
NAD+"	"a trans-2-enoyl-[acyl-carrier protein]
NADH
H+"
an adenine in DNA + S-adenosyl-L-methionine → S-adenosyl-L-homocysteine + an N6-methyladenine in DNA + H+	"DNA adenine methyltransferase
DNA adenine methyltransferase"	"EG11498-MONOMER
EG10204-MONOMER"	2.1.1.72-RXN	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
an adenine in DNA
S-adenosyl-L-homocysteine
an N6-methyladenine in DNA
H+"	"an adenine in DNA
S-adenosyl-L-methionine"	"S-adenosyl-L-homocysteine
an N6-methyladenine in DNA
H+"
an adenine in rRNA + 2 S-adenosyl-L-methionine → an N6,N6-dimethyladenine in rRNA + 2 S-adenosyl-L-homocysteine + 2 H+			RXN0-5437	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
an adenine in rRNA
an N6,N6-dimethyladenine in rRNA
S-adenosyl-L-homocysteine
H+"	"an adenine in rRNA
S-adenosyl-L-methionine"	"an N6,N6-dimethyladenine in rRNA
S-adenosyl-L-homocysteine
H+"
an adenosine-5'-diphospho-5'-[DNA] + a [DNA]-3'-hydroxyl → DNAn+ AMP + H+	"DNA ligase
DNA ligase"	"EG10534-MONOMER
EG11334-MONOMER"	RXN-17919	PHYSIOL-LEFT-TO-RIGHT	"a [DNA]-3'-hydroxyl
an adenosine-5'-diphospho-5'-[DNA]
DNAn
AMP
H+"	"an adenosine-5'-diphospho-5'-[DNA]
a [DNA]-3'-hydroxyl"	"DNAn
AMP
H+"
an adenosine34in [tRNAArg2] + H++ H2O → an inosine34in [tRNAArg2] + ammonium	tRNA-specific adenosine deaminase	CPLX0-901	RXN0-1081	LEFT-TO-RIGHT	"H2O
an adenosine34in [tRNAArg2]
H+
an inosine34in [tRNAArg2]
ammonium"	"H+
an adenosine34in [tRNAArg2]
H2O"	"an inosine34in [tRNAArg2]
ammonium"
an ADP-sugar + H2O → AMP + an α-D-aldose 1-phosphate	"ADP-sugar pyrophosphorylase
ADP-sugar pyrophosphatase"	"CPLX0-1221
CPLX0-3721"	ADPSUGPPHOSPHAT-RXN	LEFT-TO-RIGHT	"H2O
an ADP-sugar
AMP
an α-D-aldose 1-phosphate"	"an ADP-sugar
H2O"	"AMP
an α-D-aldose 1-phosphate"
an aldehyde + an oxidized electron acceptor + H2O → a carboxylate + a reduced electron acceptor + H+	aldehyde dehydrogenase	CPLX0-7805	CARBOXYLATE-REDUCTASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
an oxidized electron acceptor
an aldehyde
a carboxylate
a reduced electron acceptor
H+"	"an aldehyde
an oxidized electron acceptor
H2O"	"a carboxylate
a reduced electron acceptor
H+"
an aldehyde + NADP++ H2O → a carboxylate + NADPH + 2 H+			ALDEHYDE-DEHYDROGENASE-NADP+-RXN	PHYSIOL-LEFT-TO-RIGHT	"NADP+
H2O
an aldehyde
a carboxylate
NADPH
H+"	"an aldehyde
H2O
NADP+"	"a carboxylate
NADPH
H+"
an aldehyde + NADPH + H+→ an alcohol + NADP+	"NADP+-dependent aldehyde reductase
aldehyde reductase, NADPH-dependent
aldehyde reductase, NADPH-dependent
NADPH-dependent aldehyde reductase"	"G6269-MONOMER
EG11436-MONOMER
G6190-MONOMER
CPLX0-7667"	ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	PHYSIOL-RIGHT-TO-LEFT	"an alcohol
NADP+
an aldehyde
NADPH
H+"	"NADP+
an alcohol"	"an aldehyde
NADPH
H+"
an aldehyde[periplasm]↔ an aldehyde[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7247	REVERSIBLE	an aldehyde	an aldehyde	an aldehyde
an aldehyde[periplasm]+ FAD[periplasm]+ H2O[periplasm]→ a carboxylate[periplasm]+ FADH2[periplasm]			1.2.99.7-RXN	PHYSIOL-LEFT-TO-RIGHT	"FAD
H2O
an aldehyde
a carboxylate
FADH2"	"an aldehyde
H2O
FAD"	"a carboxylate
FADH2"
an aldonate[periplasm]↔ an aldonate[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7242	REVERSIBLE	an aldonate	an aldonate	an aldonate
an aldose[periplasm]+ an oxidized electron acceptor[periplasm]+ H2O[periplasm]→ an aldonate[periplasm]+ a reduced electron acceptor[periplasm]+ H+[periplasm]	aldose sugar dehydrogenase YliI	G6437-MONOMER	RXN0-6371	PHYSIOL-LEFT-TO-RIGHT	"H2O
an oxidized electron acceptor
an aldose
an aldonate
a reduced electron acceptor
H+"	"an aldose
an oxidized electron acceptor
H2O"	"an aldonate
a reduced electron acceptor
H+"
an aliphatic α,ω-diamine + 2-oxoglutarate ↔ an aliphatic ω-aminoaldehyde + L-glutamate	putrescine aminotransferase	CPLX0-8159	DIAMTRANSAM-RXN	REVERSIBLE	"2-oxoglutarate
an aliphatic α,ω-diamine
an aliphatic ω-aminoaldehyde
L-glutamate"	"an aliphatic α,ω-diamine
2-oxoglutarate"	"an aliphatic ω-aminoaldehyde
L-glutamate"
an aliphatic α,ω-diamine + acetyl-CoA → an aliphatic N-acetyl-diamine + coenzyme A + H+	spermidine N-acetyltransferase	SPERMACTRAN-CPLX	DIAMACTRANS-RXN	PHYSIOL-LEFT-TO-RIGHT	"acetyl-CoA
an aliphatic α,ω-diamine
an aliphatic N-acetyl-diamine
coenzyme A
H+"	"an aliphatic α,ω-diamine
acetyl-CoA"	"an aliphatic N-acetyl-diamine
coenzyme A
H+"
an aliphatic amine[periplasm]+ H2O[periplasm]+ oxygen[periplasm]→ an aldehyde[periplasm]+ ammonium[periplasm]+ hydrogen peroxide[periplasm]	copper-containing amine oxidase	AMINEOXID-CPLX	AMINEOXID-RXN	PHYSIOL-LEFT-TO-RIGHT	"oxygen
H2O
an aliphatic amine
an aldehyde
ammonium
hydrogen peroxide"	"an aliphatic amine
H2O
oxygen"	"an aldehyde
ammonium
hydrogen peroxide"
an alkylated DNA + H2O → a DNA containing an apurinic/apyrimidinic site + an alkylated nucleobase	DNA-3-methyladenine glycosylase 2	EG11222-MONOMER	3.2.2.21-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
an alkylated DNA
a DNA containing an apurinic/apyrimidinic site
an alkylated nucleobase"	"an alkylated DNA
H2O"	"a DNA containing an apurinic/apyrimidinic site
an alkylated nucleobase"
an alkylsulfonate + FMNH2+ oxygen → an aldehyde + sulfite + FMN + H2O + 2 H+	FMNH2-dependent alkanesulfonate monooxygenase	CPLX0-225	RXN0-280	PHYSIOL-LEFT-TO-RIGHT	"FMNH2
oxygen
an alkylsulfonate
an aldehyde
sulfite
H2O
FMN
H+"	"an alkylsulfonate
oxygen
FMNH2"	"an aldehyde
sulfite
H2O
FMN
H+"
an α-limit dextrin + H2O → a debranched α-limit dextrin + maltotetraose	limit dextrin α-1,6-glucohydrolase	EG10381-MONOMER	RXN0-5146	PHYSIOL-LEFT-TO-RIGHT	"H2O
an α-limit dextrin
a debranched α-limit dextrin
maltotetraose"	"an α-limit dextrin
H2O"	"a debranched α-limit dextrin
maltotetraose"
an amide[periplasm]↔ an amide[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7245	REVERSIBLE	an amide	an amide	an amide
an aminated amino group donor + 2-oxobutanoate ↔ 2-aminobutanoate + a deaminated amino group donor	valine—pyruvate aminotransferase	VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	RXN0-5200	REVERSIBLE	"2-oxobutanoate
an aminated amino group donor
2-aminobutanoate
a deaminated amino group donor"	"an aminated amino group donor
2-oxobutanoate"	"2-aminobutanoate
a deaminated amino group donor"
an amine[periplasm]↔ an amine[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7244	REVERSIBLE	an amine	an amine	an amine
an amino acid[periplasm]↔ an amino acid[extracellular space]	"outer membrane porin E
outer membrane porin F
outer membrane porin C"	"CPLX0-7530
CPLX0-7534
CPLX0-7533"	TRANS-RXN0-612	REVERSIBLE	an amino acid	an amino acid	an amino acid
an aromatic amino acid + 2-oxoglutarate ↔ an aromatic oxo-acid + L-glutamate	tyrosine aminotransferase	TYRB-DIMER	2.6.1.57-RXN	REVERSIBLE	"2-oxoglutarate
an aromatic amino acid
an aromatic oxo-acid
L-glutamate"	"an aromatic amino acid
2-oxoglutarate"	"an aromatic oxo-acid
L-glutamate"
an aromatic amino acid[cytosol]→ an aromatic amino acid[periplasm]	aromatic amino acid exporter YddG	EG12713-MONOMER	TRANS-RXN0-265	LEFT-TO-RIGHT	an aromatic amino acid	an aromatic amino acid	an aromatic amino acid
an aromatic compound[periplasm]↔ an aromatic compound[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7206	REVERSIBLE	an aromatic compound	an aromatic compound	an aromatic compound
an arylamine + acetyl-CoA → an N-acetylarylamine + coenzyme A	arylamine N-acetyltransferase	CPLX0-236	ARYLAMINE-N-ACETYLTRANSFERASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"acetyl-CoA
an arylamine
an N-acetylarylamine
coenzyme A"	"an arylamine
acetyl-CoA"	"an N-acetylarylamine
coenzyme A"
an E. coliosmoregulated periplasmic glucan (OPG)[periplasm]+ an L-1-phosphatidylethanolamine[periplasm]→ an E. coliosmoregulated periplasmic glucan with phosphotidylethanolamine substituent[periplasm]+ a 1,2-diacyl-sn-glycerol[periplasm]	phosphoethanolamine transferase	G6418-MONOMER	RXN-15210	LEFT-TO-RIGHT	"an L-1-phosphatidylethanolamine
an E. coliosmoregulated periplasmic glucan (OPG)
an E. coliosmoregulated periplasmic glucan with phosphotidylethanolamine substituent
a 1,2-diacyl-sn-glycerol"	"an E. coliosmoregulated periplasmic glucan (OPG)
an L-1-phosphatidylethanolamine"	"an E. coliosmoregulated periplasmic glucan with phosphotidylethanolamine substituent
a 1,2-diacyl-sn-glycerol"
an electron-transfer quinone[inner membrane]+ NAD(P)H + H+→ an electron-transfer quinol[inner membrane]+ NAD(P)+	"regulator of KefC-mediated potassium transport and quinone oxidoreductase
NAD(P)H:quinone oxidoreductase
chromate reductase"	"CPLX0-7939
CPLX0-7632
CPLX0-3121"	NQOR-RXN	PHYSIOL-LEFT-TO-RIGHT	"H+
NAD(P)H
an electron-transfer quinone
an electron-transfer quinol
NAD(P)+"	"an electron-transfer quinone
NAD(P)H
H+"	"an electron-transfer quinol
NAD(P)+"
an electron-transfer quinone[membrane]+ 2 H+[in]+ 2 e-[membrane]→ an electron-transfer quinol[membrane]	"choline dehydrogenase
glycolate dehydrogenase
L-lactate dehydrogenase
regulator of KefC-mediated potassium transport and quinone oxidoreductase
NAD(P)H:quinone oxidoreductase
chromate reductase
NADPH dehydrogenase (quinone)
malate:quinone oxidoreductase
dihydroorotate dehydrogenase, type 2
D-amino acid dehydrogenase"	"CHD-MONOMER
CPLX0-7458
L-LACTDEHYDROGFMN-MONOMER
CPLX0-7939
CPLX0-7632
CPLX0-3121
CPLX0-253
EG12069-MONOMER
DIHYDROOROTOX-MONOMER
DALADEHYDROG-CPLX"	RXN0-5259	LEFT-TO-RIGHT	"E-
H+
an electron-transfer quinone
an electron-transfer quinol"	"an electron-transfer quinone
H+
E-"	an electron-transfer quinol
an electron-transfer quinone[membrane]+ 2 H+[out]+ 2 e-[membrane]→ an electron-transfer quinol[membrane]	periplasmic protein-L-methionine sulfoxide reducing system	CPLX0-8213	RXN-17661	LEFT-TO-RIGHT	"E-
H+
an electron-transfer quinone
an electron-transfer quinol"	"an electron-transfer quinone
H+
E-"	an electron-transfer quinol
an enoylglutaryl-[acp] methyl ester + NADH + H+→ a glutaryl-[acp] methyl ester + NAD+	enoyl-[acyl-carrier-protein] reductase	CPLX0-8006	RXN-11478	RIGHT-TO-LEFT	"NAD+
a glutaryl-[acp] methyl ester
an enoylglutaryl-[acp] methyl ester
NADH
H+"	"a glutaryl-[acp] methyl ester
NAD+"	"an enoylglutaryl-[acp] methyl ester
NADH
H+"
an enoylpimeloyl-[acp] methyl ester + NADH + H+→ a pimeloyl-[acp] methyl ester + NAD+	enoyl-[acyl-carrier-protein] reductase	CPLX0-8006	RXN-11482	RIGHT-TO-LEFT	"NAD+
a pimeloyl-[acp] methyl ester
an enoylpimeloyl-[acp] methyl ester
NADH
H+"	"a pimeloyl-[acp] methyl ester
NAD+"	"an enoylpimeloyl-[acp] methyl ester
NADH
H+"
an epoxyqueuosine34in tRNA + a reduced electron acceptor → a queuosine34in tRNA + an oxidized electron acceptor + H2O	epoxyqueuosine reductase	G7843-MONOMER	RXN-12104	PHYSIOL-RIGHT-TO-LEFT	"H2O
an oxidized electron acceptor
a queuosine34in tRNA
an epoxyqueuosine34in tRNA
a reduced electron acceptor"	"a queuosine34in tRNA
an oxidized electron acceptor
H2O"	"an epoxyqueuosine34in tRNA
a reduced electron acceptor"
an inactive ribonucleoside triphosphate reductase + S-adenosyl-L-methionine + a reduced flavodoxin → an active ribonucleoside triphosphate reductase + 5'-deoxyadenosine + L-methionine + a flavodoxin semiquinone + H+	anaerobic ribonucleoside-triphosphate reductase activating protein	CPLX0-229	RNTRACTIV-RXN	PHYSIOL-LEFT-TO-RIGHT	"a reduced flavodoxin
S-adenosyl-L-methionine
an inactive ribonucleoside triphosphate reductase
an active ribonucleoside triphosphate reductase
5'-deoxyadenosine
L-methionine
a flavodoxin semiquinone
H+"	"an inactive ribonucleoside triphosphate reductase
S-adenosyl-L-methionine
a reduced flavodoxin"	"an active ribonucleoside triphosphate reductase
5'-deoxyadenosine
L-methionine
a flavodoxin semiquinone
H+"
an inorganic compound[periplasm]↔ an inorganic compound[extracellular space]			TRANS-RXN0-600	REVERSIBLE	an inorganic compound	an inorganic compound	an inorganic compound
an inositol[periplasm]↔ an inositol[extracellular space]	"outer membrane porin E
outer membrane porin F
outer membrane porin C"	"CPLX0-7530
CPLX0-7534
CPLX0-7533"	TRANS-RXN0-614	REVERSIBLE	an inositol	an inositol	an inositol
an insertion sequence element IS30 = an insertion sequence IS30 with integrated transposon	"KpLE2 phage-like element; IS30 transposase
transposase of IS30
transposase of IS30"	"MONOMER0-4233
G6725-MONOMER
G6131-MONOMER"	RXN0-5131		"an insertion sequence element IS30
an insertion sequence IS30 with integrated transposon"	an insertion sequence element IS30	an insertion sequence IS30 with integrated transposon
an ion[periplasm]↔ an ion[extracellular space]	"outer membrane porin E
outer membrane porin F
outer membrane porin C"	"CPLX0-7530
CPLX0-7534
CPLX0-7533"	TRANS-RXN0-601	REVERSIBLE	an ion	an ion	an ion
an iron-sulfur protein + 2 e-= a reduced iron-sulfur protein			REDUCEDFE-S-RXN		"E-
an iron-sulfur protein
a reduced iron-sulfur protein"	"an iron-sulfur protein
E-"	a reduced iron-sulfur protein
an isocitrate dehydrogenase + ATP ↔ ADP + a phosphorylated isocitrate dehydrogenase	isocitrate dehydrogenase kinase / isocitrate dehydrogenase phosphatase	CPLX0-230	PHOSICITDEHASE-RXN	REVERSIBLE	"ATP
an isocitrate dehydrogenase
ADP
a phosphorylated isocitrate dehydrogenase"	"an isocitrate dehydrogenase
ATP"	"ADP
a phosphorylated isocitrate dehydrogenase"
an L-1-phosphatidyl-sn-glycerol + an L-1-phosphatidylethanolamine → a cardiolipin + ethanolamine	cardiolipin synthase C	G6551-MONOMER	RXN0-7012	LEFT-TO-RIGHT	"an L-1-phosphatidylethanolamine
an L-1-phosphatidyl-sn-glycerol
a cardiolipin
ethanolamine"	"an L-1-phosphatidyl-sn-glycerol
an L-1-phosphatidylethanolamine"	"a cardiolipin
ethanolamine"
an L-1-phosphatidyl-sn-glycerol + ATP → 1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate + ADP + H+	lipid kinase	G7123-MONOMER	RXN0-5223	PHYSIOL-LEFT-TO-RIGHT	"ATP
an L-1-phosphatidyl-sn-glycerol
1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate
ADP
H+"	"an L-1-phosphatidyl-sn-glycerol
ATP"	"1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate
ADP
H+"
an L-1-phosphatidylethanolamine + α-D-Kdo-(2→4)-α-D-Kdo-(2→6)-lipid A → a 1,2-diacyl-sn-glycerol + 7-O-[2-aminoethoxy(hydroxy)phosphoryl]-α-D-Kdo-(2→4)-α-D-Kdo-(2→6)-lipid A	Kdo2-lipid A phosphoethanolamine 7''-transferase	EG12267-MONOMER	RXN-16286	PHYSIOL-LEFT-TO-RIGHT	"α-D-Kdo-(2→4)-α-D-Kdo-(2→6)-lipid A
an L-1-phosphatidylethanolamine
a 1,2-diacyl-sn-glycerol
7-O-[2-aminoethoxy(hydroxy)phosphoryl]-α-D-Kdo-(2→4)-α-D-Kdo-(2→6)-lipid A"	"an L-1-phosphatidylethanolamine
α-D-Kdo-(2→4)-α-D-Kdo-(2→6)-lipid A"	"a 1,2-diacyl-sn-glycerol
7-O-[2-aminoethoxy(hydroxy)phosphoryl]-α-D-Kdo-(2→4)-α-D-Kdo-(2→6)-lipid A"
an L-1-phosphatidylethanolamine[periplasm]+ α-Kdo-(2->4)-α-Kdo-(2->6)-lipid IVA[periplasm]→ a 1,2-diacyl-sn-glycerol[periplasm]+ 7-O-[2-aminoethoxy(hydroxy)phosphoryl]-α-D-Kdo-(2→4)-α-D-Kdo-(2→6)-lipid IVA[periplasm]	Kdo2-lipid A phosphoethanolamine 7''-transferase	EG12267-MONOMER	RXN0-4581	PHYSIOL-LEFT-TO-RIGHT	"α-Kdo-(2->4)-α-Kdo-(2->6)-lipid IVA
an L-1-phosphatidylethanolamine
a 1,2-diacyl-sn-glycerol
7-O-[2-aminoethoxy(hydroxy)phosphoryl]-α-D-Kdo-(2→4)-α-D-Kdo-(2→6)-lipid IVA"	"an L-1-phosphatidylethanolamine
α-Kdo-(2->4)-α-Kdo-(2->6)-lipid IVA"	"a 1,2-diacyl-sn-glycerol
7-O-[2-aminoethoxy(hydroxy)phosphoryl]-α-D-Kdo-(2→4)-α-D-Kdo-(2→6)-lipid IVA"
an L-1-phosphatidylethanolamine[periplasm]+ H2O[periplasm]→ a 2-acyl-1-lyso-phosphatidylethanolamine[periplasm]+ a fatty acid[periplasm]+ H+[periplasm]	outer membrane phospholipase	CPLX0-7944	RXN0-6952	PHYSIOL-LEFT-TO-RIGHT	"H2O
an L-1-phosphatidylethanolamine
a 2-acyl-1-lyso-phosphatidylethanolamine
a fatty acid
H+"	"an L-1-phosphatidylethanolamine
H2O"	"a 2-acyl-1-lyso-phosphatidylethanolamine
a fatty acid
H+"
an L-1-phosphatidylethanolamine[periplasm]+ H2O[periplasm]→ a fatty acid[periplasm]+ a 1-acyl 2-lyso-phosphatidylethanolamine[periplasm]+ H+[periplasm]	outer membrane phospholipase	CPLX0-7944	RXN0-6725	PHYSIOL-LEFT-TO-RIGHT	"H2O
an L-1-phosphatidylethanolamine
a fatty acid
a 1-acyl 2-lyso-phosphatidylethanolamine
H+"	"an L-1-phosphatidylethanolamine
H2O"	"a fatty acid
a 1-acyl 2-lyso-phosphatidylethanolamine
H+"
an L-1-phosphatidylethanolamine[periplasm]+ lipid A-core[periplasm]→ a 1,2-diacyl-sn-glycerol[periplasm]+ lipid A-core-1-pyrophosphoethanolamine[periplasm]	phosphoethanolamine transferase EptA	EG11613-MONOMER	RXN-14379	LEFT-TO-RIGHT	"lipid A-core
an L-1-phosphatidylethanolamine
a 1,2-diacyl-sn-glycerol
lipid A-core-1-pyrophosphoethanolamine"	"an L-1-phosphatidylethanolamine
lipid A-core"	"a 1,2-diacyl-sn-glycerol
lipid A-core-1-pyrophosphoethanolamine"
an L-1-phosphatidylethanolamine[periplasm]+ lipid A-core[periplasm]→ a 1,2-diacyl-sn-glycerol[periplasm]+ lipid A-core-phosphoethanolamine (hep II)[periplasm]	phosphoethanolamine transferase EptC	EG11914-MONOMER	RXN-14363	LEFT-TO-RIGHT	"lipid A-core
an L-1-phosphatidylethanolamine
a 1,2-diacyl-sn-glycerol
lipid A-core-phosphoethanolamine (hep II)"	"an L-1-phosphatidylethanolamine
lipid A-core"	"a 1,2-diacyl-sn-glycerol
lipid A-core-phosphoethanolamine (hep II)"
an L-glutamyl-[tRNAGlu] + NADPH + H+→ (S)-4-amino-5-oxopentanoate + a tRNAglu+ NADP+	glutamyl-tRNA reductase	CPLX0-3741	GLUTRNAREDUCT-RXN	RIGHT-TO-LEFT	"a tRNAglu
NADP+
(S)-4-amino-5-oxopentanoate
an L-glutamyl-[tRNAGlu]
NADPH
H+"	"(S)-4-amino-5-oxopentanoate
NADP+
a tRNAglu"	"an L-glutamyl-[tRNAGlu]
NADPH
H+"
an L-leucyl-[tRNAleu] + an N-terminal arginyl-[protein] → a [protein] N-terminal L-leucyl-L-arginine + a tRNAleu+ H+	leucyl/phenylalanyl-tRNA—protein transferase	EG11112-MONOMER	RXN-17846	PHYSIOL-LEFT-TO-RIGHT	"an N-terminal arginyl-[protein]
an L-leucyl-[tRNAleu]
a [protein] N-terminal L-leucyl-L-arginine
a tRNAleu
H+"	"an L-leucyl-[tRNAleu]
an N-terminal arginyl-[protein]"	"a [protein] N-terminal L-leucyl-L-arginine
a tRNAleu
H+"
an L-leucyl-[tRNAleu] + an N-terminal L-lysyl-[protein] → a [protein] N-terminal L-leucyl-L-lysine + a tRNAleu+ H+	leucyl/phenylalanyl-tRNA—protein transferase	EG11112-MONOMER	LEUCYLTRANSFERASE-RXN	LEFT-TO-RIGHT	"an N-terminal L-lysyl-[protein]
an L-leucyl-[tRNAleu]
a [protein] N-terminal L-leucyl-L-lysine
a tRNAleu
H+"	"an L-leucyl-[tRNAleu]
an N-terminal L-lysyl-[protein]"	"a [protein] N-terminal L-leucyl-L-lysine
a tRNAleu
H+"
an L-phenylalanyl-[tRNAphe] + an N-terminal arginyl-[protein] → L-phenylalanyl-L-arginyl-[protein] + a tRNAphe+ H+	leucyl/phenylalanyl-tRNA—protein transferase	EG11112-MONOMER	RXN-17847	PHYSIOL-LEFT-TO-RIGHT	"an N-terminal arginyl-[protein]
an L-phenylalanyl-[tRNAphe]
L-phenylalanyl-L-arginyl-[protein]
a tRNAphe
H+"	"an L-phenylalanyl-[tRNAphe]
an N-terminal arginyl-[protein]"	"L-phenylalanyl-L-arginyl-[protein]
a tRNAphe
H+"
an L-phenylalanyl-[tRNAphe] + an N-terminal L-lysyl-[protein] → L-phenylalanyl-L-lysyl-[protein] + a tRNAphe+ H+	leucyl/phenylalanyl-tRNA—protein transferase	EG11112-MONOMER	RXN-17848	PHYSIOL-LEFT-TO-RIGHT	"an N-terminal L-lysyl-[protein]
an L-phenylalanyl-[tRNAphe]
L-phenylalanyl-L-lysyl-[protein]
a tRNAphe
H+"	"an L-phenylalanyl-[tRNAphe]
an N-terminal L-lysyl-[protein]"	"L-phenylalanyl-L-lysyl-[protein]
a tRNAphe
H+"
an mRNA + H2O → 2 an mRNA fragment	"Qin prophage / toxin of the RelE-RelB toxin-antitoxin system / cofactor to enhance the repressor activity of RelB
toxin of the YafQ-DinJ toxin-antitoxin system
HigB translation-dependent mRNA interferase and toxin of the HigB-HigA toxin-antitoxin system
ribosome-dependent mRNA interferase, toxin of the YafO-YafN toxin-antitoxin system"	"EG11131-MONOMER
G6109-MONOMER
CPLX0-8228
G6117-MONOMER"	RXN0-6381	PHYSIOL-LEFT-TO-RIGHT	"H2O
an mRNA
an mRNA fragment"	"an mRNA
H2O"	an mRNA fragment
an mRNA + H2O → 2 an mRNA fragment	"antitoxin of the GhoTS toxin-antitoxin system
CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system
mRNA interferase / toxin of the MqsR-MqsA toxin-antitoxin system"	"G7830-MONOMER
CPLX0-8095
G7572-MONOMER"	RXN0-5509	PHYSIOL-LEFT-TO-RIGHT	"H2O
an mRNA
an mRNA fragment"	"an mRNA
H2O"	an mRNA fragment
an mRNA + H2O → an RNase product with a 3' phosphate + an RNase product with a 5' OH	toxin of the YoeB-YefM toxin-antitoxin pair	MONOMER0-1041	RXN0-4701	LEFT-TO-RIGHT	"H2O
an mRNA
an RNase product with a 3' phosphate
an RNase product with a 5' OH"	"an mRNA
H2O"	"an RNase product with a 3' phosphate
an RNase product with a 5' OH"
an mRNA[periplasm]+ H2O[periplasm]→ 2 an mRNA fragment[periplasm]	RNase I	EG10856-MONOMER	3.1.27.6-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
an mRNA
an mRNA fragment"	"an mRNA
H2O"	an mRNA fragment
an N-acetyl-β-D-hexosaminide + H2O → an N-acetyl-β-D-hexosamine + an alcohol	β-N-acetylhexosaminidase	G6567-MONOMER	3.2.1.52-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
an N-acetyl-β-D-hexosaminide
an N-acetyl-β-D-hexosamine
an alcohol"	"an N-acetyl-β-D-hexosaminide
H2O"	"an N-acetyl-β-D-hexosamine
an alcohol"
an N-hydroxy-arylamine + acetyl-CoA → an N-acetoxyarylamine + coenzyme A	arylamine N-acetyltransferase	CPLX0-236	2.3.1.118-RXN	PHYSIOL-LEFT-TO-RIGHT	"acetyl-CoA
an N-hydroxy-arylamine
an N-acetoxyarylamine
coenzyme A"	"an N-hydroxy-arylamine
acetyl-CoA"	"an N-acetoxyarylamine
coenzyme A"
an N-modified aminoacyl-[tRNA] + H2O → an uncharged tRNA + an N-modified amino acid + H+	"peptidyl-tRNA hydrolase, ribosome rescue factor
peptidyl-tRNA hydrolase"	"EG12354-MONOMER
EG10785-MONOMER"	AMINOCYL-TRNA-HYDROLASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"an N-modified aminoacyl-[tRNA]
H2O
an uncharged tRNA
an N-modified amino acid
H+"	"H2O
an N-modified aminoacyl-[tRNA]"	"an uncharged tRNA
an N-modified amino acid
H+"
an N-terminal arginyl-[protein][periplasm]+ H2O[periplasm]→ a protein[periplasm]+ L-arginine[periplasm]+ H+[periplasm]	alkaline phosphatase isozyme conversion protein	EG10488-MONOMER	RXN0-3261	PHYSIOL-LEFT-TO-RIGHT	"H2O
an N-terminal arginyl-[protein]
a protein
L-arginine
H+"	"an N-terminal arginyl-[protein]
H2O"	"a protein
L-arginine
H+"
an N-terminal L-alanyl-[S5 protein of 30S ribosome] + acetyl-CoA → an N-terminal N-acetyl-L-alanyl-[S5 protein of 30S ribosome] + coenzyme A + H+	ribosomal-protein-S5-alanine N-acetyltransferase	EG10851-MONOMER	RXN-18434	PHYSIOL-LEFT-TO-RIGHT	"acetyl-CoA
an N-terminal L-alanyl-[S5 protein of 30S ribosome]
an N-terminal N-acetyl-L-alanyl-[S5 protein of 30S ribosome]
coenzyme A
H+"	"an N-terminal L-alanyl-[S5 protein of 30S ribosome]
acetyl-CoA"	"an N-terminal N-acetyl-L-alanyl-[S5 protein of 30S ribosome]
coenzyme A
H+"
