"Reactions"	"Enzymes of a reaction"	"Object ID"	"Object ID"	"Reaction-Direction"	"Substrates"	"Left"	"Right"	"Object ID"	"Object ID"
ABC-35-RXN	ABC-15-CPLX // ABC-304-CPLX	"ABC-15-CPLX" // "ABC-304-CPLX"	"ABC-35-RXN"	LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // LEU // PROTON	ATP // LEU // WATER	ADP // Pi // LEU // PROTON	"ATP" // "LEU" // "WATER"	"ADP" // "Pi" // "LEU" // "PROTON"
S-ADENMETSYN-RXN	S-ADENMETSYN-CPLX	"S-ADENMETSYN-CPLX"	"S-ADENMETSYN-RXN"	LEFT-TO-RIGHT	WATER // MET // ATP // Pi // PPI // S-ADENOSYLMETHIONINE	ATP // MET // WATER	Pi // PPI // S-ADENOSYLMETHIONINE	"ATP" // "MET" // "WATER"	"Pi" // "PPI" // "S-ADENOSYLMETHIONINE"
RXN0-4522	METNIQ-METHIONINE-ABC-CPLX	"METNIQ-METHIONINE-ABC-CPLX"	"RXN0-4522"	LEFT-TO-RIGHT	ATP // WATER // Pi // ADP // MET // PROTON	WATER // ATP // MET	Pi // ADP // MET // PROTON	"WATER" // "ATP" // "MET"	"Pi" // "ADP" // "MET" // "PROTON"
ABC-37-RXN	ABC-3-CPLX	"ABC-3-CPLX"	"ABC-37-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // L-ORNITHINE // PROTON	ATP // L-ORNITHINE // WATER	ADP // Pi // L-ORNITHINE // PROTON	"ATP" // "L-ORNITHINE" // "WATER"	"ADP" // "Pi" // "L-ORNITHINE" // "PROTON"
ABC-26-RXN	ABC-26-CPLX	"ABC-26-CPLX"	"ABC-26-RXN"	LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // PRO // PROTON	ATP // PRO // WATER	ADP // Pi // PRO // PROTON	"ATP" // "PRO" // "WATER"	"ADP" // "Pi" // "PRO" // "PROTON"
ABC-36-RXN	ABC-15-CPLX	"ABC-15-CPLX"	"ABC-36-RXN"	LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // VAL // PROTON	ATP // VAL // WATER	ADP // Pi // VAL // PROTON	"ATP" // "VAL" // "WATER"	"ADP" // "Pi" // "VAL" // "PROTON"
ABC-19-RXN	ABC-19-CPLX	"ABC-19-CPLX"	"ABC-19-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // CPD-3 // PROTON	ATP // CPD-3 // WATER	ADP // Pi // CPD-3 // PROTON	"ATP" // "CPD-3" // "WATER"	"ADP" // "Pi" // "CPD-3" // "PROTON"
RXN-8344	CPLX0-8163	"CPLX0-8163"	"RXN-8344"	LEFT-TO-RIGHT	ATP // CPD-4 // PROTON // CPD-8122 // PPI	PROTON // CPD-4 // ATP	CPD-8122 // PPI	"PROTON" // "CPD-4" // "ATP"	"CPD-8122" // "PPI"
FGAMSYN-RXN	FGAMSYN-MONOMER	"FGAMSYN-MONOMER"	"FGAMSYN-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // GLN // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // ATP // PROTON // ADP // Pi // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE // GLT	ATP // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // GLN // WATER	PROTON // ADP // Pi // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE // GLT	"ATP" // "5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE" // "GLN" // "WATER"	"PROTON" // "ADP" // "Pi" // "5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE" // "GLT"
NAD-KIN-RXN	CPLX0-682	"CPLX0-682"	"NAD-KIN-RXN"	LEFT-TO-RIGHT	ATP // NAD // PROTON // NADP // ADP	NAD // ATP	PROTON // NADP // ADP	"NAD" // "ATP"	"PROTON" // "NADP" // "ADP"
NAD-SYNTH-GLN-RXN	NAD-SYNTH-CPLX	"NAD-SYNTH-CPLX"	"NAD-SYNTH-GLN-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // GLN // DEAMIDO-NAD // ATP // PROTON // AMP // PPI // NAD // GLT	ATP // DEAMIDO-NAD // GLN // WATER	PROTON // AMP // PPI // NAD // GLT	"ATP" // "DEAMIDO-NAD" // "GLN" // "WATER"	"PROTON" // "AMP" // "PPI" // "NAD" // "GLT"
PHOQ-RXN	""	""	"PHOQ-RXN"	LEFT-TO-RIGHT	CPLX0-8168 // ATP // ADP // PHOSPHO-PHOQ	ATP // CPLX0-8168	ADP // PHOSPHO-PHOQ	"ATP" // "CPLX0-8168"	"ADP" // "PHOSPHO-PHOQ"
ABC-27-RXN	ABC-27-CPLX	"ABC-27-CPLX"	"ABC-27-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // PROTON	ATP // Pi // WATER	ADP // Pi // PROTON	"ATP" // "Pi" // "WATER"	"ADP" // "Pi" // "PROTON"
PROPKIN-RXN	ACETATEKINA-MONOMER // PROPKIN-MONOMER	"ACETATEKINA-MONOMER" // "PROPKIN-MONOMER"	"PROPKIN-RXN"	REVERSIBLE	PROPIONATE // ATP // ADP // PROPIONYL-P	ATP // PROPIONATE	ADP // PROPIONYL-P	"ATP" // "PROPIONATE"	"ADP" // "PROPIONYL-P"
ABC-25-RXN	ABC-24-CPLX // ABC-25-CPLX	"ABC-24-CPLX" // "ABC-25-CPLX"	"ABC-25-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // PUTRESCINE // PROTON	ATP // PUTRESCINE // WATER	ADP // Pi // PUTRESCINE // PROTON	"ATP" // "PUTRESCINE" // "WATER"	"ADP" // "Pi" // "PUTRESCINE" // "PROTON"
PYRIDOXKIN-RXN	CPLX0-8031 // PDXK-CPLX	"CPLX0-8031" // "PDXK-CPLX"	"PYRIDOXKIN-RXN"	LEFT-TO-RIGHT	PYRIDOXAL // ATP // PROTON // ADP // PYRIDOXAL_PHOSPHATE	ATP // PYRIDOXAL	PROTON // ADP // PYRIDOXAL_PHOSPHATE	"ATP" // "PYRIDOXAL"	"PROTON" // "ADP" // "PYRIDOXAL_PHOSPHATE"
PYRAMKIN-RXN	PDXK-CPLX	"PDXK-CPLX"	"PYRAMKIN-RXN"	LEFT-TO-RIGHT	PYRIDOXAMINE // ATP // PROTON // ADP // PYRIDOXAMINE-5P	ATP // PYRIDOXAMINE	PROTON // ADP // PYRIDOXAMINE-5P	"ATP" // "PYRIDOXAMINE"	"PROTON" // "ADP" // "PYRIDOXAMINE-5P"
PNKIN-RXN	PDXK-CPLX	"PDXK-CPLX"	"PNKIN-RXN"	LEFT-TO-RIGHT	PYRIDOXINE // ATP // PROTON // ADP // PYRIDOXINE-5P	ATP // PYRIDOXINE	PROTON // ADP // PYRIDOXINE-5P	"ATP" // "PYRIDOXINE"	"PROTON" // "ADP" // "PYRIDOXINE-5P"
RXN0-1139	EG11796-MONOMER	"EG11796-MONOMER"	"RXN0-1139"	LEFT-TO-RIGHT	LIPOIC-ACID // E2P-MONOMER // ATP // AMP // PPI // ACEF-LIPOATE	ATP // E2P-MONOMER // LIPOIC-ACID	AMP // PPI // ACEF-LIPOATE	"ATP" // "E2P-MONOMER" // "LIPOIC-ACID"	"AMP" // "PPI" // "ACEF-LIPOATE"
RCSC-RXN	""	""	"RCSC-RXN"	LEFT-TO-RIGHT	RCSC-MONOMER // ATP // ADP // PHOSPHO-RCSC	ATP // RCSC-MONOMER	ADP // PHOSPHO-RCSC	"ATP" // "RCSC-MONOMER"	"ADP" // "PHOSPHO-RCSC"
CREC-RXN	""	""	"CREC-RXN"	LEFT-TO-RIGHT	CREC-MONOMER // ATP // ADP // PHOSPHO-CREC	ATP // CREC-MONOMER	ADP // PHOSPHO-CREC	"ATP" // "CREC-MONOMER"	"ADP" // "PHOSPHO-CREC"
KDPD-RXN	""	""	"KDPD-RXN"	LEFT-TO-RIGHT	KDPD-MONOMER // ATP // PHOSPHO-KDPD // ADP	ATP // KDPD-MONOMER	PHOSPHO-KDPD // ADP	"ATP" // "KDPD-MONOMER"	"PHOSPHO-KDPD" // "ADP"
NARQ-RXN	""	""	"NARQ-RXN"	LEFT-TO-RIGHT	NARQ-MONOMER // ATP // ADP // PHOSPHO-NARQ	ATP // NARQ-MONOMER	ADP // PHOSPHO-NARQ	"ATP" // "NARQ-MONOMER"	"ADP" // "PHOSPHO-NARQ"
NARX-RXN	""	""	"NARX-RXN"	LEFT-TO-RIGHT	NARX-MONOMER // ATP // ADP // PHOSPHO-NARX	ATP // NARX-MONOMER	ADP // PHOSPHO-NARX	"ATP" // "NARX-MONOMER"	"ADP" // "PHOSPHO-NARX"
NRIIPHOS-RXN	""	""	"NRIIPHOS-RXN"	LEFT-TO-RIGHT	PROTEIN-NRII // ATP // ADP // PROTEIN-NRIIP	ATP // PROTEIN-NRII	ADP // PROTEIN-NRIIP	"ATP" // "PROTEIN-NRII"	"ADP" // "PROTEIN-NRIIP"
RXN0-6532	""	""	"RXN0-6532"	LEFT-TO-RIGHT	GLNL-CPLX // ATP // ADP // PROTEIN-NRIIP	ATP // GLNL-CPLX	ADP // PROTEIN-NRIIP	"ATP" // "GLNL-CPLX"	"ADP" // "PROTEIN-NRIIP"
RXN0-6518	""	""	"RXN0-6518"	LEFT-TO-RIGHT	TORS-CPLX // ATP // ADP // PHOSPHO-TORS	ATP // TORS-CPLX	ADP // PHOSPHO-TORS	"ATP" // "TORS-CPLX"	"ADP" // "PHOSPHO-TORS"
ABC-34-RXN	ABC-34-CPLX	"ABC-34-CPLX"	"ABC-34-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // GLYCEROL-3P // PROTON	ATP // GLYCEROL-3P // WATER	ADP // Pi // GLYCEROL-3P // PROTON	"ATP" // "GLYCEROL-3P" // "WATER"	"ADP" // "Pi" // "GLYCEROL-3P" // "PROTON"
ABC-24-RXN	ABC-24-CPLX	"ABC-24-CPLX"	"ABC-24-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // SPERMIDINE // PROTON	ATP // SPERMIDINE // WATER	ADP // Pi // SPERMIDINE // PROTON	"ATP" // "SPERMIDINE" // "WATER"	"ADP" // "Pi" // "SPERMIDINE" // "PROTON"
ABC-32-RXN	ABC-32-CPLX	"ABC-32-CPLX"	"ABC-32-RXN"	LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // THIAMINE // PROTON	ATP // THIAMINE // WATER	ADP // Pi // THIAMINE // PROTON	"ATP" // "THIAMINE" // "WATER"	"ADP" // "Pi" // "THIAMINE" // "PROTON"
ABC-7-RXN	ABC-70-CPLX // ABC-7-CPLX	"ABC-70-CPLX" // "ABC-7-CPLX"	"ABC-7-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // ATP // ADP // Pi // S2O3 // PROTON	ATP // S2O3 // WATER	ADP // Pi // S2O3 // PROTON	"ATP" // "S2O3" // "WATER"	"ADP" // "Pi" // "S2O3" // "PROTON"
RXN-12002	UMPKI-CPLX	"UMPKI-CPLX"	"RXN-12002"	PHYSIOL-LEFT-TO-RIGHT	UMP // ATP // ADP // UDP	ATP // UMP	ADP // UDP	"ATP" // "UMP"	"ADP" // "UDP"
RXN-14325	CTPSYN-CPLX	"CTPSYN-CPLX"	"RXN-14325"	PHYSIOL-LEFT-TO-RIGHT	AMMONIUM // UTP // ATP // ADP // Pi // CTP // PROTON	ATP // UTP // AMMONIUM	ADP // Pi // CTP // PROTON	"ATP" // "UTP" // "AMMONIUM"	"ADP" // "Pi" // "CTP" // "PROTON"
CTPSYN-RXN	CTPSYN-CPLX	"CTPSYN-CPLX"	"CTPSYN-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // GLN // UTP // ATP // PROTON // ADP // Pi // CTP // GLT	ATP // UTP // GLN // WATER	PROTON // ADP // Pi // CTP // GLT	"ATP" // "UTP" // "GLN" // "WATER"	"PROTON" // "ADP" // "Pi" // "CTP" // "GLT"
RXN-10015	""	""	"RXN-10015"	LEFT-TO-RIGHT	DIHYDROXYPENTANEDIONE // CPD-10773	DIHYDROXYPENTANEDIONE	CPD-10773	"DIHYDROXYPENTANEDIONE"	"CPD-10773"
RXN-10016	""	""	"RXN-10016"	LEFT-TO-RIGHT	DIHYDROXYPENTANEDIONE // CPD-10775	DIHYDROXYPENTANEDIONE	CPD-10775	"DIHYDROXYPENTANEDIONE"	"CPD-10775"
RXN0-5461	G6798-MONOMER	"G6798-MONOMER"	"RXN0-5461"	LEFT-TO-RIGHT	ATP // DIHYDROXYPENTANEDIONE // PROTON // CPD-10551 // ADP	DIHYDROXYPENTANEDIONE // ATP	PROTON // CPD-10551 // ADP	"DIHYDROXYPENTANEDIONE" // "ATP"	"PROTON" // "CPD-10551" // "ADP"
BAER-RXN	""	""	"BAER-RXN"	LEFT-TO-RIGHT	PHOSPHO-BAES // BAER-MONOMER // PHOSPHO-BAER // BAES-MONOMER	BAER-MONOMER // PHOSPHO-BAES	PHOSPHO-BAER // BAES-MONOMER	"BAER-MONOMER" // "PHOSPHO-BAES"	"PHOSPHO-BAER" // "BAES-MONOMER"
BAES-RXN	""	""	"BAES-RXN"	LEFT-TO-RIGHT	ATP // BAES-MONOMER // PHOSPHO-BAES // ADP	BAES-MONOMER // ATP	PHOSPHO-BAES // ADP	"BAES-MONOMER" // "ATP"	"PHOSPHO-BAES" // "ADP"
BARA-RXN	""	""	"BARA-RXN"	LEFT-TO-RIGHT	ATP // BARA-MONOMER // MONOMER0-4210 // ADP	BARA-MONOMER // ATP	MONOMER0-4210 // ADP	"BARA-MONOMER" // "ATP"	"MONOMER0-4210" // "ADP"
RXN0-6560	""	""	"RXN0-6560"	LEFT-TO-RIGHT	PHOSPHO-BARA-ASP // MONOMER0-4299	PHOSPHO-BARA-ASP	MONOMER0-4299	"PHOSPHO-BARA-ASP"	"MONOMER0-4299"
RXN0-6561	""	""	"RXN0-6561"	LEFT-TO-RIGHT	MONOMER0-4210 // PHOSPHO-BARA-ASP	MONOMER0-4210	PHOSPHO-BARA-ASP	"MONOMER0-4210"	"PHOSPHO-BARA-ASP"
PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-CPLX	"PANTOATE-BETA-ALANINE-LIG-CPLX"	"PANTOATE-BETA-ALANINE-LIG-RXN"	PHYSIOL-LEFT-TO-RIGHT	ATP // L-PANTOATE // B-ALANINE // PROTON // PANTOTHENATE // PPI // AMP	B-ALANINE // L-PANTOATE // ATP	PROTON // PANTOTHENATE // PPI // AMP	"B-ALANINE" // "L-PANTOATE" // "ATP"	"PROTON" // "PANTOTHENATE" // "PPI" // "AMP"
RXN0-5201	CYCA-MONOMER	"CYCA-MONOMER"	"RXN0-5201"	LEFT-TO-RIGHT	PROTON // B-ALANINE	PROTON // B-ALANINE	PROTON // B-ALANINE	"PROTON" // "B-ALANINE"	"PROTON" // "B-ALANINE"
RXN0-3241	CPLX0-263 // CPLX0-3021	"CPLX0-263" // "CPLX0-3021"	"RXN0-3241"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD-12991 // L-ASPARTATE // Amino-Acids-20	CPD-12991 // WATER	L-ASPARTATE // Amino-Acids-20	"CPD-12991" // "WATER"	"L-ASPARTATE" // "Amino-Acids-20"
FRUCTOKINASE-RXN	EG11288-MONOMER	"EG11288-MONOMER"	"FRUCTOKINASE-RXN"	LEFT-TO-RIGHT	ATP // BETA-D-FRUCTOSE // PROTON // FRUCTOSE-6P // ADP	BETA-D-FRUCTOSE // ATP	PROTON // FRUCTOSE-6P // ADP	"BETA-D-FRUCTOSE" // "ATP"	"PROTON" // "FRUCTOSE-6P" // "ADP"
RXN0-5186	G7408-MONOMER // G6425-MONOMER // G7187-MONOMER // EG11195-MONOMER // EG11470-MONOMER // ALKAPHOSPHA-CPLX	"G7408-MONOMER" // "G6425-MONOMER" // "G7187-MONOMER" // "EG11195-MONOMER" // "EG11470-MONOMER" // "ALKAPHOSPHA-CPLX"	"RXN0-5186"	PHYSIOL-LEFT-TO-RIGHT	WATER // FRU1P // BETA-D-FRUCTOSE // Pi	FRU1P // WATER	BETA-D-FRUCTOSE // Pi	"FRU1P" // "WATER"	"BETA-D-FRUCTOSE" // "Pi"
RXN0-313	EG11905-MONOMER // CPLX0-201	"EG11905-MONOMER" // "CPLX0-201"	"RXN0-313"	REVERSIBLE	FRUCTOSE-6P // DIHYDROXYACETONE // GAP	FRUCTOSE-6P	DIHYDROXYACETONE // GAP	"FRUCTOSE-6P"	"DIHYDROXYACETONE" // "GAP"
6PFRUCTPHOS-RXN	6PFK-1-CPX // 6PFK-2-CPX	"6PFK-1-CPX" // "6PFK-2-CPX"	"6PFRUCTPHOS-RXN"	LEFT-TO-RIGHT	ATP // FRUCTOSE-6P // PROTON // ADP // FRUCTOSE-16-DIPHOSPHATE	FRUCTOSE-6P // ATP	PROTON // ADP // FRUCTOSE-16-DIPHOSPHATE	"FRUCTOSE-6P" // "ATP"	"PROTON" // "ADP" // "FRUCTOSE-16-DIPHOSPHATE"
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	L-GLN-FRUCT-6-P-AMINOTRANS-CPLX	"L-GLN-FRUCT-6-P-AMINOTRANS-CPLX"	"L-GLN-FRUCT-6-P-AMINOTRANS-RXN"	REVERSIBLE	GLN // FRUCTOSE-6P // D-GLUCOSAMINE-6-P // GLT	FRUCTOSE-6P // GLN	D-GLUCOSAMINE-6-P // GLT	"FRUCTOSE-6P" // "GLN"	"D-GLUCOSAMINE-6-P" // "GLT"
TRANS-RXN0-492	ABC-46-CPLX	"ABC-46-CPLX"	"TRANS-RXN0-492"	PHYSIOL-LEFT-TO-RIGHT	WATER // ATP // CPD0-2485 // ADP // Pi // PROTON	CPD0-2485 // ATP // WATER	CPD0-2485 // ADP // Pi // PROTON	"CPD0-2485" // "ATP" // "WATER"	"CPD0-2485" // "ADP" // "Pi" // "PROTON"
ALDOSE1EPIM-RXN	ALDOSE1EPIM-MONOMER	"ALDOSE1EPIM-MONOMER"	"ALDOSE1EPIM-RXN"	REVERSIBLE	GALACTOSE // ALPHA-D-GALACTOSE	GALACTOSE	ALPHA-D-GALACTOSE	"GALACTOSE"	"ALPHA-D-GALACTOSE"
BETA-PHOSPHOGLUCOMUTASE-RXN	G6655-MONOMER	"G6655-MONOMER"	"BETA-PHOSPHOGLUCOMUTASE-RXN"	REVERSIBLE	CPD-448 // GLC-6-P	CPD-448	GLC-6-P	"CPD-448"	"GLC-6-P"
RXN0-6418	""	""	"RXN0-6418"	REVERSIBLE	GLC // D-Glucose	GLC	D-Glucose	"GLC"	"D-Glucose"
GLUCOSE-6-PHOSPHATASE-RXN	G6425-MONOMER // G7187-MONOMER // EG11195-MONOMER // EG11470-MONOMER // ALKAPHOSPHA-CPLX	"G6425-MONOMER" // "G7187-MONOMER" // "EG11195-MONOMER" // "EG11470-MONOMER" // "ALKAPHOSPHA-CPLX"	"GLUCOSE-6-PHOSPHATASE-RXN"	PHYSIOL-LEFT-TO-RIGHT	GLC-6-P // WATER // Pi // GLC	WATER // GLC-6-P	Pi // GLC	"WATER" // "GLC-6-P"	"Pi" // "GLC"
UHPC-RXN	""	""	"UHPC-RXN"		UHPC-MONOMER // GLC-6-P // GLU-UHPC	GLC-6-P // UHPC-MONOMER	GLU-UHPC	"GLC-6-P" // "UHPC-MONOMER"	"GLU-UHPC"
RXN0-5305	""	""	"RXN0-5305"	REVERSIBLE	CPD0-1108 // CPD-15818	CPD0-1108	CPD-15818	"CPD0-1108"	"CPD-15818"
RXN0-5304	CPLX0-7646	"CPLX0-7646"	"RXN0-5304"	REVERSIBLE	CPD0-1110 // CPD0-1108	CPD0-1110	CPD0-1108	"CPD0-1110"	"CPD0-1108"
RXN-15346	""	""	"RXN-15346"	LEFT-TO-RIGHT	CPD-16551 // CPD-15895	CPD-16551	CPD-15895	"CPD-16551"	"CPD-15895"
LYXISOM-RXN	CPLX0-7652	"CPLX0-7652"	"LYXISOM-RXN"	REVERSIBLE	L-LYXOSE // L-XYLULOSE	L-LYXOSE	L-XYLULOSE	"L-LYXOSE"	"L-XYLULOSE"
RHAMNISOM-RXN	CPLX0-7652	"CPLX0-7652"	"RHAMNISOM-RXN"	REVERSIBLE	CPD0-1112 // CPD-16566	CPD0-1112	CPD-16566	"CPD0-1112"	"CPD-16566"
2.7.7.1-RXN	CPLX0-7975	"CPLX0-7975"	"2.7.7.1-RXN"	LEFT-TO-RIGHT	ATP // NICOTINAMIDE_NUCLEOTIDE // PROTON // NAD // PPI	PROTON // NICOTINAMIDE_NUCLEOTIDE // ATP	NAD // PPI	"PROTON" // "NICOTINAMIDE_NUCLEOTIDE" // "ATP"	"NAD" // "PPI"
RXN-5841	""	""	"RXN-5841"	PHYSIOL-LEFT-TO-RIGHT	WATER // NICOTINAMIDE_NUCLEOTIDE // NICOTINAMIDE_RIBOSE // Pi	NICOTINAMIDE_NUCLEOTIDE // WATER	NICOTINAMIDE_RIBOSE // Pi	"NICOTINAMIDE_NUCLEOTIDE" // "WATER"	"NICOTINAMIDE_RIBOSE" // "Pi"
NMNAMIDOHYDRO-RXN	CPLXECOLI-7943	"CPLXECOLI-7943"	"NMNAMIDOHYDRO-RXN"	LEFT-TO-RIGHT	WATER // NICOTINAMIDE_NUCLEOTIDE // AMMONIUM // NICOTINATE_NUCLEOTIDE	NICOTINAMIDE_NUCLEOTIDE // WATER	AMMONIUM // NICOTINATE_NUCLEOTIDE	"NICOTINAMIDE_NUCLEOTIDE" // "WATER"	"AMMONIUM" // "NICOTINATE_NUCLEOTIDE"
NMNNUCLEOSID-RXN	NMNNUCLEOSID-MONOMER	"NMNNUCLEOSID-MONOMER"	"NMNNUCLEOSID-RXN"	PHYSIOL-LEFT-TO-RIGHT	NICOTINAMIDE_NUCLEOTIDE // WATER // CPD-15317 // NIACINAMIDE // PROTON	WATER // NICOTINAMIDE_NUCLEOTIDE	CPD-15317 // NIACINAMIDE // PROTON	"WATER" // "NICOTINAMIDE_NUCLEOTIDE"	"CPD-15317" // "NIACINAMIDE" // "PROTON"
DMBPPRIBOSYLTRANS-RXN	DMBPPRIBOSYLTRANS-CPLX	"DMBPPRIBOSYLTRANS-CPLX"	"DMBPPRIBOSYLTRANS-RXN"	LEFT-TO-RIGHT	DIMETHYLBENZIMIDAZOLE // NICOTINATE_NUCLEOTIDE // PROTON // NIACINE // ALPHA-RIBAZOLE-5-P	NICOTINATE_NUCLEOTIDE // DIMETHYLBENZIMIDAZOLE	PROTON // NIACINE // ALPHA-RIBAZOLE-5-P	"NICOTINATE_NUCLEOTIDE" // "DIMETHYLBENZIMIDAZOLE"	"PROTON" // "NIACINE" // "ALPHA-RIBAZOLE-5-P"
BADH-RXN	BADH-CPLX	"BADH-CPLX"	"BADH-RXN"	LEFT-TO-RIGHT	WATER // NAD // BETAINE_ALDEHYDE // PROTON // BETAINE // NADH	BETAINE_ALDEHYDE // NAD // WATER	PROTON // BETAINE // NADH	"BETAINE_ALDEHYDE" // "NAD" // "WATER"	"PROTON" // "BETAINE" // "NADH"
RXN-6268	""	""	"RXN-6268"	REVERSIBLE	BETAINE-ALDEHYDE-HYDRATE // BETAINE_ALDEHYDE // WATER	BETAINE-ALDEHYDE-HYDRATE	BETAINE_ALDEHYDE // WATER	"BETAINE-ALDEHYDE-HYDRATE"	"BETAINE_ALDEHYDE" // "WATER"
RXN0-7231	CHD-MONOMER	"CHD-MONOMER"	"RXN0-7231"	PHYSIOL-LEFT-TO-RIGHT	BETAINE-ALDEHYDE-HYDRATE // ETR-Quinones // ETR-Quinols // PROTON // BETAINE	ETR-Quinones // BETAINE-ALDEHYDE-HYDRATE	ETR-Quinols // PROTON // BETAINE	"ETR-Quinones" // "BETAINE-ALDEHYDE-HYDRATE"	"ETR-Quinols" // "PROTON" // "BETAINE"
RXN-17758	CHD-MONOMER	"CHD-MONOMER"	"RXN-17758"	LEFT-TO-RIGHT	E- // PROTON // BETAINE_ALDEHYDE // CHOLINE	BETAINE_ALDEHYDE // PROTON // E-	CHOLINE	"BETAINE_ALDEHYDE" // "PROTON" // "E-"	"CHOLINE"
RXN0-288	""	""	"RXN0-288"	REVERSIBLE	CHOLINE // PD00251 // MONOMER0-49	PD00251 // CHOLINE	MONOMER0-49	"PD00251" // "CHOLINE"	"MONOMER0-49"
RXN0-7094	""	""	"RXN0-7094"		CPLX0-8115 // CPLX0-2861 // CPLX0-7657 // CPLX-154	CPLX0-2861 // CPLX0-8115	CPLX0-7657 // CPLX-154	"CPLX0-2861" // "CPLX0-8115"	"CPLX0-7657" // "CPLX-154"
RXN0-7096	""	""	"RXN0-7096"		MONOMER0-4306 // CPLX0-2861 // FRUB-MONOMER // CPLX0-8117	CPLX0-2861 // MONOMER0-4306	FRUB-MONOMER // CPLX0-8117	"CPLX0-2861" // "MONOMER0-4306"	"FRUB-MONOMER" // "CPLX0-8117"
RXN0-7095	""	""	"RXN0-7095"		PTSH-PHOSPHORYLATED // CPLX0-2861 // PTSH-MONOMER // CPLX0-8117	CPLX0-2861 // PTSH-PHOSPHORYLATED	PTSH-MONOMER // CPLX0-8117	"CPLX0-2861" // "PTSH-PHOSPHORYLATED"	"PTSH-MONOMER" // "CPLX0-8117"
RXN0-7163	""	""	"RXN0-7163"	REVERSIBLE	CPD-7 // ACONITATEDEHYDRB-MONOMER // CPLX0-8203	ACONITATEDEHYDRB-MONOMER // CPD-7	CPLX0-8203	"ACONITATEDEHYDRB-MONOMER" // "CPD-7"	"CPLX0-8203"
RXN0-7192	BIOTINLIG-MONOMER	"BIOTINLIG-MONOMER"	"RXN0-7192"	PHYSIOL-LEFT-TO-RIGHT	PROTON // ATP // BIOTIN // BIO-5-AMP // PPI	BIOTIN // ATP // PROTON	BIO-5-AMP // PPI	"BIOTIN" // "ATP" // "PROTON"	"BIO-5-AMP" // "PPI"
TRANS-RXN0-240	EG11471-MONOMER	"EG11471-MONOMER"	"TRANS-RXN0-240"	LEFT-TO-RIGHT	BIOTIN	BIOTIN	BIOTIN	"BIOTIN"	"BIOTIN"
R131-RXN	""	""	"R131-RXN"	REVERSIBLE	BIO-5-AMP // BIOTINLIG-MONOMER // MONOMER-48	BIOTINLIG-MONOMER // BIO-5-AMP	MONOMER-48	"BIOTINLIG-MONOMER" // "BIO-5-AMP"	"MONOMER-48"
RXN0-6549	G6438-MONOMER	"G6438-MONOMER"	"RXN0-6549"	PHYSIOL-LEFT-TO-RIGHT	GLUTATHIONE // BROMOACETATE // PROTON // CPD0-2370 // BR-	BROMOACETATE // GLUTATHIONE	PROTON // CPD0-2370 // BR-	"BROMOACETATE" // "GLUTATHIONE"	"PROTON" // "CPD0-2370" // "BR-"
TRANS-RXN-144	""	""	"TRANS-RXN-144"	LEFT-TO-RIGHT	CA+2	CA+2	CA+2	"CA+2"	"CA+2"
TRANS-RXN0-497	""	""	"TRANS-RXN0-497"	LEFT-TO-RIGHT	CA+2	CA+2	CA+2	"CA+2"	"CA+2"
RXN0-5217	SPERMIDINESYN-CPLX	"SPERMIDINESYN-CPLX"	"RXN0-5217"	LEFT-TO-RIGHT	S-ADENOSYLMETHIONINAMINE // CADAVERINE // PROTON // CPD0-1065 // 5-METHYLTHIOADENOSINE	CADAVERINE // S-ADENOSYLMETHIONINAMINE	PROTON // CPD0-1065 // 5-METHYLTHIOADENOSINE	"CADAVERINE" // "S-ADENOSYLMETHIONINAMINE"	"PROTON" // "CPD0-1065" // "5-METHYLTHIOADENOSINE"
